Comment,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula
CommentSub1,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02
CommentSub2,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo
CommentSub3,0,0,0,0,0,0,0,0,0,45+,45+,45+,45+,45+,45+,45+,45+,70+,70+,70+,70+,70+,70+,70+,70+,70-,70-,70-,70-,70-,70-,70-,70-,70-,45-,45-,45-,45-,45-,45-,45-,45-,45-,45-
Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission
315.71551278125,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN
319.0428102084,7.08637419396594,7.14803526010088,7.00187569592917,6.94706585936478,6.78777477184952,6.74038710065322,6.6427570792729,6.73810335746304,6.81917624071453,6.50630342365946,6.5080162310521,6.60393344503979,6.72040434773912,6.69014475046919,6.53085366295393,6.50516155206437,6.50116500148155,6.2933443711749,6.28478033421172,6.18886312022403,6.27164881086816,6.20085277197249,5.98732278369039,6.18657937703385,6.2396764062056,5.88055778954933,5.76294501525491,5.7304016747948,5.75381004249418,5.80176864948802,5.71156079347579,5.76751250163527,5.68872336157396,5.7840696397641,5.60993422151265,5.51116232853724,5.52771946666606,5.42552195890538,5.51002045694215,5.52829040246361,5.48090273126731,5.48375741025504,5.38327270988699,5.4420790970342
322.37087940495,9.50724454464472,9.60686000017424,9.45089640818357,9.22147899544891,9.21695102019757,9.03029781817003,8.75409132783816,9.02828538472498,9.27178983157493,8.76063173653455,8.75308511111564,8.91911087033152,9.11230448105544,8.92263262886034,8.79132134657142,8.66906601478519,8.60215260273758,8.48241281275764,8.36619478130653,8.37223208164165,8.4361268435217,8.42807710974154,8.14029912710069,8.35210774719124,8.35361707227502,7.91943455650745,7.897297788612,7.92295631503627,7.75340879729158,7.85000560265354,7.73429067956369,7.77453934846451,7.72322229561597,7.761961639433,7.49984218321643,7.45808418923183,7.44550648020032,7.33733818252938,7.35746251697979,7.34639413303206,7.33180399055551,7.37959928487523,7.36349981731491,7.40626402802203
325.6997090048,11.9802616447114,12.0426995952709,11.947308281916,11.7730023366039,11.620809832115,11.3350694889292,11.1360485215206,11.4347967710729,11.6446576604537,10.9855904045472,11.0883528648431,11.2080256034156,11.3667220610879,11.2734987321274,11.1213062276385,10.90667577259,10.8802263629779,10.8394682563626,10.5129698065616,10.5571966882079,10.5966540041866,10.5819117103044,10.2792610888421,10.5788765321522,10.5801773227889,9.9874503893519,9.93715315140114,9.95926659222432,9.81314444403978,9.88078555714598,9.81227725028201,9.76111281857348,9.75590965602685,9.74246815278139,9.4229072530425,9.46496615029443,9.37607879012283,9.37651238700171,9.35483254305742,9.27505071734242,9.28589063931457,9.26464439224916,9.34442621796416,9.22518707627054
329.02928764185,14.1040493340315,14.2735250534877,14.1166030910283,13.8529741940964,13.7364596369703,13.463807727197,13.1848789389253,13.5328533906791,13.7650978951191,13.0275646715597,13.162909864181,13.2994319715207,13.4783230087245,13.2951166175531,13.199786525359,12.9561651786407,12.9392960676763,12.7470666636635,12.4445995810229,12.4563687282074,12.5203144279096,12.5493449909646,12.14134788857,12.5042299267575,12.5195298180973,11.8490807334893,11.7329584812693,11.8023964496576,11.5854518365574,11.6678358668487,11.5705442501238,11.5878056659943,11.5619135421885,11.613305484894,11.2182544444024,11.2139390904347,11.0911476548102,11.035048053231,11.1072321559623,11.0068020999883,11.0024867460206,10.9620793406873,10.9777715369333,10.9193181059171
332.35960395,15.5089520821262,15.7419911390509,15.5074724690664,15.2788722513213,15.0957701351662,14.7787630370957,14.5290783332479,14.8505242704979,15.1693808848932,14.3740888652297,14.4684141977945,14.610457051539,14.7857911991299,14.7062619971636,14.583084209932,14.2867916946992,14.1976450078439,13.9897593729366,13.6579561442677,13.682369759755,13.829221355944,13.710112504627,13.3720209204538,13.7141814405415,13.6886581152593,13.0365186591353,12.9003942576301,12.9392341004509,12.7280193361588,12.7923825042618,12.7339377883982,12.4239588523619,12.7058251402613,12.7609407267403,12.3751316213872,12.3177966153185,12.1887003758475,12.1824120203432,12.1772333746338,12.1091711738812,12.3248247773527,12.0603439429065,12.0551652971971,12.0266827457952
335.69064656315,16.1244210638965,16.2929140239667,16.0731104505418,15.9524611704915,15.6435574103628,15.3214793035619,15.0375374634435,15.4074592502644,15.6751065037092,14.8922729567163,14.9931607167584,15.1387719168191,15.3655093569136,15.2160845301846,15.0444713301131,14.8416557300286,14.6832168766292,14.5008561832199,14.1961127430929,14.2314754631076,14.3379103164853,14.2574774631185,13.9718021563327,14.2550506097841,14.218647809769,13.5949465028424,13.4049585560965,13.4413613561117,13.1685137026647,13.2850026627132,13.2239846360211,13.1456319426551,13.1913954626742,13.1931289293416,12.7691229824982,12.7528283958248,12.6380729024436,12.6384195957771,12.6335658891084,12.5260909557303,12.6533274091166,12.5676941557476,12.5565999690763,12.5174236223933
339.0224041152,17.1678032040051,17.3004208180054,17.124267118601,16.850994459449,16.6430259284032,16.3138261441552,16.0033803659274,16.3365988657512,16.7036415550043,15.7846952600128,15.9243456262707,16.1011691116043,16.3382733305744,16.0854291422659,15.81115180422,15.7358008871744,15.6128951691489,15.4186572496536,15.0820898201833,15.1403611960319,15.2492014095422,15.2016466085623,14.7810210449656,15.1329935508097,15.1400263030673,14.4109643190307,14.2394991211314,14.2565786623284,14.0171301926057,14.1537665221817,14.0164604066764,14.01311147703,13.9548401011814,14.0047391529138,13.5589966169686,13.5492847209938,13.4625474431502,13.3905454557511,13.4280534677916,13.324236648751,13.3386370462308,13.3041430708722,13.3054826427308,13.261611664362
342.35486524005,18.2125902557894,18.4083066131116,18.2053415018145,17.9246170296957,17.7437276691403,17.3486705775084,17.0728884376453,17.3651450183604,17.7559187553708,16.804355051757,16.941751888463,17.0979295877403,17.3430692676187,17.1358208017,16.9608622398514,16.691010898695,16.6353272886151,16.4501545734381,16.0597103252448,16.0933181845829,16.1588864591741,16.1476838393947,15.7279150864847,16.1453774176754,16.0989194944726,15.2452139695199,15.1714084745028,15.1585584106382,14.85773512068,15.0218205515663,14.9341765262334,14.9012276445293,14.8438965903642,14.8929904241033,14.4188560163816,14.4211624381009,14.2705860487132,14.2887079336505,14.2663026940917,14.098922375035,14.1783291799418,14.1206686369597,14.1516405857615,14.0847543559022
345.6880185716,18.8740704199736,19.0803583771675,18.8670668164886,18.6359479014842,18.3924135075747,17.9992566755769,17.6754991872031,18.0667459455231,18.4099225162871,17.4446986178117,17.5889091804797,17.7741863272187,18.0110354632562,17.799335630642,17.64175455223,17.3752992741878,17.2871175393996,17.0337144314885,16.6335539960058,16.6717554695602,16.769487572737,16.7643940429297,16.2671381954961,16.7220540764069,16.7058184501462,15.8924454090497,15.6836106869521,15.7743391866439,15.4493083158182,15.5906537679696,15.5002436138908,15.4626788315622,15.4359378000741,15.4833712964042,15.0023510752312,14.9644679472898,14.8419048863026,14.8193023477829,14.8434966143674,14.6875072640201,14.7069263464103,14.7314389586077,14.7212518989932,14.5935953081988
349.02185274375,20.352928649301,20.5872190642115,20.2903272421424,20.031864006646,19.778049390493,19.4120480941844,18.9908831816668,19.4163868055717,19.8676127898437,18.7996699726724,18.940058276845,19.1538947666442,19.3900446292921,19.1672208087621,19.0305514000644,18.6986399789412,18.5737470725802,18.3047469665719,17.9096143223777,17.9468032771254,18.0531017061125,18.0314081491764,17.5305968919075,18.001347077422,17.9464933691692,17.0933167656659,16.8677037735299,16.9392925114192,16.6005631152589,16.7493189342497,16.6613050746802,16.6135792494206,16.6098603539459,16.683928355485,16.1654523447109,16.0783682090101,15.9423186162248,15.9370501809689,15.9382898127938,15.8143266303015,15.8164959859951,15.8124671825641,15.7802367551161,15.7396388128499
352.3563563904,21.2858784608102,21.4704461083374,21.2477930732252,21.0403741931471,20.7582493604984,20.2856975899249,19.9402924209812,20.3478060681404,20.7479956023025,19.6857062532016,19.8289659034251,20.0205646994295,20.2859905544448,20.133356039585,19.9039648205155,19.5901998197193,19.4510416727742,19.1967484695146,18.7757584544407,18.8267342809006,18.9324944725789,18.8856201493974,18.42273620798,18.8255624228211,18.7842544255174,17.8775292364752,17.7011645955047,17.7266525087347,17.4011689271431,17.5576119807614,17.4480432503246,17.3976533529045,17.3572242491605,17.4377894921287,16.8843795140671,16.8284232907691,16.7103585892557,16.6895581083439,16.6801832437076,16.5682707971118,16.5755949101089,16.5770597327083,16.5571381453562,16.476572902388
355.69151814545,21.4807901146617,21.6842890811264,21.4201264661221,21.1752659211077,20.8849076396885,20.4153158512205,20.0852504543936,20.4787369383301,20.9497074460831,19.8208120955323,19.9903945675862,20.185621218341,20.4652254893372,20.2123683724698,20.026241268996,19.7309195981509,19.5900144872248,19.3605955982022,18.9494615074178,18.9676606019797,19.0473505766522,19.0528654537922,18.5328125394935,18.9963379631075,18.922714353289,18.0345433898977,17.8437286408549,17.8577915775618,17.5365499841588,17.7086141509257,17.5608154435747,17.7367400243396,17.505115184461,17.5958349134134,16.9856137578763,16.9528002388935,16.8367120750973,16.8320244295283,16.8232006261044,16.6831227467493,16.6701627854703,16.716212009589,16.6924980378872,16.6464488137685
359.0273266428,21.9119978886351,22.1343652089231,21.8831724952644,21.6083017799084,21.3882507858734,20.885093249805,20.52606268059,20.9303902965303,21.383875502951,20.2190207672756,20.4282622387966,20.5919492940086,20.9131465344247,20.6261794486363,20.4802508946973,20.1119550204702,20.0128677307586,19.7616750170999,19.2852839177328,19.3532294878208,19.4600378650425,19.4420219941858,18.9241943918484,19.3753632720161,19.3390741607191,18.3757398090547,18.2069053621693,18.2292965159484,17.9201956459647,18.0576310036427,17.9104156017853,17.9310051684786,17.8769575559086,17.933836233899,17.3457467352206,17.3290177122822,17.2021345075346,17.1653306570702,17.1570948303929,17.0031878193602,17.0003567539399,17.0155415593762,17.0304689952289,16.9504270547085
362.36377051635,24.0511046503473,24.3208420438991,24.0501531956963,23.7276100690153,23.4428872647106,22.9264852528931,22.539005346283,22.9940385331125,23.4645328580203,22.1995738995471,22.4058016951463,22.617024627663,22.9310046624853,22.670068224455,22.4881025224557,22.1006226158456,21.9790742841833,21.7169485278393,21.1610611480064,21.236701792759,21.3396967587272,21.3358909401233,20.7673967861648,21.2742842514726,21.2535901128138,20.1791599481987,19.9803059261446,20.0438155240973,19.6511026169067,19.8166557261766,19.6848792570164,19.6439667070244,19.6197046134245,19.6808355747498,19.0516861867916,19.0105357731369,18.8675797118276,18.8549729377022,18.8816136679295,18.6708664627383,18.7196285136008,18.7208178319145,18.6875169191304,18.5750074066524
365.7008384,26.4301389885072,26.7337783098863,26.4409523546532,26.0970873112111,25.7564662776128,25.2168793069285,24.7283314244532,25.2744064148251,25.8072890984989,24.4391820137098,24.661721088994,24.9043730253098,25.2170955742514,24.9136725201953,24.756013641787,24.3258579365,24.1569531572998,23.8407703311914,23.2769614203401,23.3574128644662,23.4860919216033,23.4670603971864,22.8100402701568,23.3915831014875,23.3494109735182,22.2168190033885,21.9737345324269,22.0392635312715,21.5887786976301,21.7976929315704,21.6233814692972,21.6484684787559,21.5719098464424,21.6936683492461,20.9659288076218,20.9285145607567,20.755716969744,20.7325763661916,20.7295486236707,20.5223645283138,20.5589137058872,20.5911375370022,20.5452888645433,20.4663512916776
369.03851892765,27.4094967588376,27.668428106198,27.3519564594241,27.0279966914938,26.657334694245,26.0947403284049,25.6318562074387,26.1613451955341,26.7284718452321,25.2939054762948,25.4931289102228,25.7284135591941,26.0949373842248,25.8007330451007,25.6287033143201,25.1587251838372,24.9658075361463,24.6741649226811,24.117876343078,24.1769930890507,24.3119763256884,24.2698063802278,23.628586742244,24.1939398895629,24.1626080141974,22.9674644664494,22.7246916963216,22.7773056002373,22.3597443178501,22.5536472446406,22.3735382252438,22.364473657528,22.3195449305887,22.4269403524391,21.6858134137614,21.6162527093336,21.4694461235014,21.4412671412544,21.4633373930842,21.2355408652694,21.2794843131091,21.3265806540674,21.238693758388,21.1809564031546
372.3768007332,26.9659403313801,27.1961487413178,26.9652198042755,26.6236899566685,26.278377341762,25.6830418215399,25.2372156755339,25.76662296568,26.3044964493058,24.8893812157611,25.1266147649692,25.34493447768,25.7124033010546,25.3688920039098,25.2278488231734,24.7755379332255,24.5991889243609,24.2969278039576,23.7332954763404,23.8035468690443,23.9431489955715,23.9143279113852,23.2957553920379,23.8287653177073,23.8033667372682,22.6395353314723,22.4046434953544,22.4235573318517,22.0224038663344,22.2061382780217,22.0285283467239,22.049423632759,21.9435061483745,22.0676169421515,21.3220515206086,21.2746768634774,21.1664176660029,21.098507986389,21.1089556294065,20.9363893878414,20.9311655663326,20.9742170608358,20.9068477765505,20.8605539100763
375.71567245055,27.6413954878907,27.9221981327364,27.640724513829,27.247198226608,26.9588471235676,26.3380283729262,25.8473785902658,26.3947256811447,26.9771311667505,25.4872332626173,25.7534422216197,25.9899605783893,26.3412154997195,25.9881153997195,25.835636544185,25.36612244447,25.2200178425222,24.9294860737811,24.3140351156337,24.382474469933,24.5245532275102,24.494694881762,23.8401596845173,24.4270942450399,24.3974036428071,23.174721158769,22.9590029979138,22.9826548335908,22.5819155752059,22.7832077937333,22.584599471453,22.5829220362986,22.5205214485551,22.5817478316905,21.8904768045645,21.810127660669,21.6670424419991,21.6249388196238,21.6256097936856,21.4135819901701,21.4389112610015,21.4820213444694,21.4374015693625,21.3580588865597
379.0551227136,27.6134624753073,27.8936939157935,27.6156865343587,27.2372787728858,26.9070060037414,26.3333576298208,25.8343740954857,26.4013502922517,26.932900405555,25.4875797448159,25.7311142109528,25.952249225214,26.2906239237603,25.973377786203,25.8118157822493,25.3528653108407,25.2030590475876,24.8935971167105,24.2907182523991,24.3641122010979,24.4929487647228,24.4732499559811,23.8104803586407,24.4006503140865,24.3839698712004,23.137384772847,22.9245105493483,22.9669265326872,22.5216381383092,22.7151312757878,22.5556344695246,22.4997152705161,22.4634948802491,22.5872478803278,21.8496545820412,21.779278999198,21.6266132314501,21.6038960568529,21.6216885292647,21.4037307422199,21.4391568256827,21.4742651864239,21.4148510374772,21.3196930823461
382.39514015625,26.310479842404,26.5667510033232,26.2875763811624,25.9579522430235,25.6083649528565,25.1052625711244,24.6080408078191,25.1492124562096,25.6475174913303,24.2757858666998,24.5269501747746,24.7423665129386,25.0357784218172,24.7518064530449,24.5916369774704,24.1612685604919,24.0181219277321,23.6888072958262,23.1433025601738,23.2120129438986,23.3430888335716,23.3127572227382,22.6921972255847,23.2643194972746,23.217429302976,22.0671493880528,21.8347102070741,21.8927426257606,21.4561840841222,21.6586011605004,21.4865156949556,21.4598981589181,21.4301855605507,21.5312393456233,20.8489328549875,20.7553072195067,20.6149461428438,20.5788886667,20.6045776840385,20.4033986325922,20.4379085775711,20.4916079089956,20.4114457946501,20.2992497851897
385.7357134124,26.5129981967805,26.7961361649874,26.4848982042508,26.1568613349366,25.8283663135703,25.2988952586763,24.8054654985486,25.3422669862765,25.8697527156113,24.4583389603963,24.7061992205904,24.9242795973971,25.263312115962,24.9665823035423,24.7700350731851,24.342579208562,24.1710776237203,23.8708353122344,23.3187620894361,23.3948153300871,23.5296647507596,23.4639962899565,22.89283339832,23.4106979345605,23.3644245772969,22.212783035631,22.010890697999,22.0214281951977,21.6428418828001,21.8288516159588,21.6480342727241,21.6135201514648,21.6006918940056,21.6756761132017,20.999596401631,20.8989556675164,20.7796834166159,20.7331046246509,20.7447111433044,20.5599231489515,20.5609921704064,20.6277296526645,20.5211329418724,20.5011269689301
389.07683111595,28.3803244240763,28.6372692808609,28.390761849561,27.986465103581,27.65354192893,27.0633669143919,26.6807124771374,27.12353560248,27.6730353559381,26.1688181537344,26.4621405081641,26.6951406829545,27.035891926719,26.7183179071925,26.5235371286622,26.0883885808819,25.8911519375317,25.5976760915508,24.9626815440491,25.0474088803365,25.1663648325515,25.1777232073437,24.5042022804794,25.0661348495884,25.0168640616386,23.7958387714825,23.5956857886587,23.5123398763325,23.1677513437868,23.3602297490484,23.1867842961413,23.1603837493271,23.1115734360311,23.170360700158,22.4825650590279,22.3786512788349,22.2560115293899,22.195382366648,22.2070477245427,22.0185600996135,22.0168716925498,22.0784218045991,22.018253116511,21.9318373731599
392.4184819008,29.1637725631309,29.435314299208,29.1491534776835,28.7339092421018,28.4301744136032,27.8069970158594,27.3017054348088,27.865162313278,28.4415275331528,26.8950149194357,27.1810202187746,27.3975071011453,27.76516154793,27.4097933538085,27.204037502245,26.7631321060374,26.6164746850061,26.2659276786386,25.6477269908344,25.7083806432227,25.8569043304814,25.8236225827606,25.1607870276859,25.7553483432773,25.7166233190601,24.4122587483395,24.2206554156666,24.2201888491098,23.7982571595468,23.9988807789851,23.8175419105625,23.7823938966144,23.7301384422491,23.8176974327481,23.0984073242966,23.0015170026609,22.8604583803116,22.8046259156772,22.8136462024427,22.5890721664202,22.5929602210605,22.6581240168315,22.605557518095,22.5263967256189
395.76065440085,31.7678729488087,32.0194795170083,31.7418013568479,31.3196300364232,30.9422201841238,30.3355059687961,29.7347599492184,30.3603210984936,30.9989180437493,29.3155727266686,29.6241912700595,29.865432024588,30.2367166233544,29.8693584691604,29.6559169422045,29.1739066064963,28.9918766361197,28.6209061529191,27.9287525036959,28.0097943196703,28.1710926627046,28.1487904575333,27.4030801043426,28.060052810197,28.0124643019795,26.613236514158,26.3716816440637,26.4079619919127,25.9083611845202,26.1335820451932,25.9532797104285,25.8810331302962,25.8791484369015,25.9308204474743,25.1563685200135,25.0641756014535,24.8595293103399,24.8455511676621,24.8603145992543,24.605252759831,24.6063521643113,24.6947756960818,24.6077656843574,24.544785513416
399.10333725,38.6142349503138,38.9740736186765,38.5964651395305,38.0814579448632,37.6145244347259,36.813137700202,36.1434379563048,36.9238816995482,37.6803679300391,35.642868732899,35.9974716534416,36.3040008894543,36.7447556604911,36.3193908148648,36.09520561275,35.4683438055625,35.2187731594715,34.7954708811682,33.9534674362825,34.0410472180004,34.2439721107852,34.201451492125,33.296777732423,34.1032415557421,34.0523120087648,32.3503766491851,32.0578094073593,32.1144506792313,31.4955218232864,31.765876801633,31.5494658917358,31.4993296398828,31.4374526201908,31.5581921381026,30.5673665279064,30.4513867807401,30.2360864840169,30.2105423810158,30.2226004669045,29.9563706232041,29.9374901992468,30.0325269551327,29.9274946806811,29.8381696496899
402.44651908215,44.3105578689822,44.7464942804763,44.2810463532666,43.6709278435818,43.1642600275738,42.2444309915478,41.4577245535867,42.3448343004497,43.2250473344009,40.8881843780107,41.301505986701,41.6229248861249,42.2041734347836,41.664465552268,41.3887574244687,40.6915478656885,40.3988385386183,39.8958596620748,38.9725020752567,39.063923618506,39.3008176875924,39.2203025740641,38.2047215006349,39.0892650287401,39.0435542571154,37.1325232258601,36.784800584168,36.8103023830744,36.1211122579125,36.4781374426019,36.1612094260043,36.1509445509728,36.0624100038261,36.1989007640106,35.0875676531782,34.9010356272151,34.6978231793259,34.6633396147669,34.6322242123277,34.337109055172,34.3295707875707,34.3505817036509,34.3339012817247,34.2262804825663
405.7901885312,45.9812706345093,46.4123771814217,45.957481011488,45.3141967457373,44.7803768940236,43.8180223465349,43.0180159020968,43.9157526897574,44.8586576130193,42.3980390372791,42.8238411412205,43.2182988094245,43.766103101698,43.2223173268267,42.9402174051894,42.2067576089324,41.8989391759207,41.4498296710463,40.428965510181,40.5408410346594,40.7580017150765,40.7004565458764,39.6855397907664,40.5807047272896,40.5262136313152,38.5039349338115,38.1728090998668,38.2070468681339,37.4816241066814,37.8510062262954,37.5304892782926,37.5086285436244,37.4285796769718,37.5451166816368,36.3734777478394,36.2241496411721,35.9973445189897,35.9714652669192,35.9576415670555,35.6242653633656,35.6167105506494,35.6898475673702,35.6239438819734,35.5131935423677
409.13433423105,47.003906920356,47.4410398870988,46.9975160875088,46.3236027637804,45.8073832405545,44.8163248367878,44.0010143363168,44.9364724943136,45.8679363817809,43.3703989051275,43.8338940573647,44.1713300316925,44.7330842389541,44.1925795509091,43.9064300101795,43.1601405044574,42.8656828810264,42.3675174605936,41.3240542274806,41.4582617172701,41.6798638462438,41.6456728905118,40.5506036821582,41.5352712530778,41.4753571951361,39.3703766261169,39.0211176110219,39.0925351680885,38.3427307043004,38.6955046774613,38.4056804078445,38.3781998266019,38.2583717107185,38.4432265508214,37.1952566666006,37.0727124467571,36.8271446946066,36.7640352202413,36.7963089261193,36.4419372447466,36.4344280161513,36.5099996145684,36.4559970770103,36.3085286090631
412.4789448156,48.4926990453015,48.9728902937964,48.4778607884447,47.812033475443,47.2394977560838,46.2688547623314,45.2530655828232,46.3477816605061,47.3135311865717,44.7550368553409,45.2158120868847,45.5975025664575,46.1638819877591,45.618497121372,45.3158913937702,44.5444598910108,44.2364871343331,43.70736120897,42.6110665933235,42.7550292555942,42.9824965761336,42.9543986003834,41.8184826818533,42.8083838387603,42.7548714017978,40.5984306898689,40.2590450277177,40.3381297796888,39.5547013884068,39.8947184657434,39.6083716791656,39.547124406182,39.4884027939401,39.6539914263106,38.3783748980112,38.2487769312084,37.9749005945422,37.9324379233242,37.9359107068439,37.5744255132038,37.5897373314497,37.6814503871287,37.5741098056111,37.4653485399264
415.82400891875,49.3126711454047,49.8060384225997,49.2897526403749,48.6477247900137,48.0470431615643,47.0195818043172,46.16803545865,47.1388199723775,48.1168826599996,45.5122255343181,45.9698213610951,46.3693466514791,46.9389024724218,46.3815801778126,46.0847235957714,45.3084366652696,44.9979528640216,44.4482184528344,43.3476656471139,43.4805310343811,43.7343379921095,43.6788999866997,42.5422660210337,43.5579584162385,43.4720140223768,41.3203070805609,40.9622828668524,41.028715560486,40.2127858104732,40.5797916004771,40.3044598305923,40.2415887965242,40.1365972667256,40.3380633143184,39.0560207255243,38.8898615640584,38.629550706254,38.5851073890679,38.6024511226039,38.2227472419754,38.2600672400307,38.3249513860272,38.2280123039417,38.0906561285268
419.1695151744,49.4101057307142,49.9906353926394,49.3633860538719,48.7331225424048,48.1403854810467,47.1078806228303,46.2086021979323,47.2049369837545,48.2029295645615,45.6056169493958,46.0482482103185,46.4370764885549,47.0076593805717,46.4381314489998,46.1465102403224,45.3557420326066,45.0372946869036,44.5158428098888,43.4773096062735,43.5767773053572,43.8156504917932,43.7454202678947,42.6039530665912,43.5870254925356,43.5359352652789,41.3794454074162,41.0174432662054,41.0793845151802,40.2554604077698,40.6533312041048,40.3229778762388,40.3079070127413,40.2111520690871,40.3448306283102,39.1025393502082,38.9326907185909,38.6820622586269,38.6550854129663,38.6502627366471,38.2807251636875,38.314333189287,38.418171438785,38.2967002789948,38.1575962089126
422.51545221645,48.9522990326838,49.4280175022084,48.9438766666178,48.2895459512095,47.6948978643038,46.6843591495843,45.8100304240021,46.7726487800699,47.7708443721064,45.1819832992482,45.6241575177165,46.0275598096394,46.6060892304531,46.0364178153295,45.7345195558236,44.9699720155163,44.6605226691925,44.1136497277305,43.0528672430307,43.1853016887591,43.4259199744741,43.3634782950188,42.2505642686342,43.2291560775859,43.1511765848708,41.0027471719845,40.6565588840277,40.6953308105732,39.9380439306677,40.2926545846905,39.9769610704212,39.959825911873,39.8561436813356,40.0032446610756,38.7435200813671,38.6007754978681,38.3488305819264,38.3149959044541,38.302507568563,37.9333755937366,37.9396197616821,38.0527408507418,37.9539958692776,37.8434886179626
425.8618086788,47.6154674612258,48.0872378939325,47.5973438925934,46.9340212806493,46.3857136234874,45.4080168018051,44.5661073327991,45.5003075897637,46.4611355514112,43.9355465564596,44.3851504706084,44.7724371910751,45.3378925324045,44.7558471551732,44.4760471379029,43.7244766879259,43.4248801572264,42.9249484871063,41.8764303356915,41.986008219884,42.2094857623276,42.1972175004841,41.0911221656449,42.0356389155234,41.9758311390366,39.8881354446559,39.5507582439613,39.6105660204481,38.8258154986672,39.1963727711656,38.9108568591728,38.8391990570418,38.7622435963875,38.9210339400202,37.7041060123909,37.5469886135551,37.2875427579796,37.257569163703,37.2706738979449,36.9037413391729,36.9348302299807,37.1312618315421,36.9360849385783,36.8074076012886
429.20857319535,46.5582378384852,47.0261679758862,46.5457703121486,45.9075390703194,45.3787302670831,44.4056000465301,43.5712042147871,44.5196646491846,45.4313856708666,42.9832409780812,43.4372446232976,43.7818258299211,44.3388855173032,43.7684298707722,43.4950727241782,42.7537854401833,42.4592069721653,41.9620975178063,40.9215896017319,41.0616503231308,41.2575496465268,41.2267787304619,40.1577546637239,41.1112551619596,41.0424185005902,39.0108748740113,38.654091407569,38.7277028662588,38.0002094411895,38.3145502647837,38.0309803572544,37.9914556461021,37.9325664791503,38.0693113690767,36.8757446722311,36.7047804015084,36.4698868999956,36.4437581479922,36.4514508770084,36.0832609503006,36.1128381670354,36.2209342730394,36.0877704811033,35.98683657108
432.5557344,48.2620090386314,48.7649662011764,48.2388498499657,47.6127965650562,47.0294115679602,46.0606274638289,45.1849835749838,46.1598092065931,47.1110980540692,44.5839774560769,45.0080171659402,45.3871230151858,45.965599271206,45.4106597993189,45.1082058299507,44.3435750085141,44.0413727694575,43.4971318358128,42.4576115141265,42.574666109013,42.7900213905732,42.7630862472337,41.669318043401,42.6308019684963,42.5518845158147,40.454089964229,40.0837946758889,40.1491186917449,39.3771876912725,39.7275962849974,39.4607621547183,39.3779428822072,39.30846531621,39.3838585445294,38.2308078523187,38.0980201129581,37.8116768835313,37.7891470206445,37.8032439180932,37.4266553719634,37.4547233017051,37.5618345492841,37.4264036416519,37.3238235396814
435.90328092665,51.2855288172527,51.8151971010153,51.2614638165059,50.5981275582984,49.9880440492682,48.9381190414409,48.0321075034258,49.0405739951152,50.0331957090851,47.3560239428426,47.8367282894423,48.2298693907506,48.8353066867654,48.2435697624629,47.9315586884245,47.128478638752,46.7909729599622,46.2222288334028,45.1396612008002,45.2461666991547,45.4843148996139,45.4459538588195,44.2820179316128,45.2971559086577,45.2095926633663,42.9730963315903,42.5904389929835,42.662991396225,41.8358463458057,42.2318466551235,41.9106622887213,41.8601496138866,41.7600773335535,41.9193590464169,40.6264013577809,40.4685492489222,40.1975201563536,40.1354515158137,40.1616609225676,39.7816245246362,39.8060469263842,39.9224405191049,39.7770974452879,39.6757146946171
