Comment,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula
CommentSub1,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02
CommentSub2,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo
CommentSub3,0,0,0,0,0,0,0,0,0,45+,45+,45+,45+,45+,45+,45+,45+,70+,70+,70+,70+,70+,70+,70+,70+,70-,70-,70-,70-,70-,70-,70-,70-,70-,45-,45-,45-,45-,45-,45-,45-,45-,45-,45-
Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission
MissionSub,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Attributes],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalFactor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IDBasisSpec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDDataBack,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576,DLAB_2019-08-21_13-14-08_111_576
IDDataCal,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402,DLAB_2019-08-22_10-19-25_368_402
IntegrationTime,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
P31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
P31e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PathLength,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF,+INF
RAWDynamic,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
Temperature,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN,+NAN
Unit1,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm,$01 $01 Wavelength nm
