"wavelength","nadir","45","70","-70","-45"
319,30.2318242212412,31.5793852612006,30.9422886773654,31.5554122346212,30.912098659215
320,33.2397556521455,34.6812489615214,34.0643011150123,34.7003420313766,33.91806962487
321,36.299695089656,37.8630818138257,37.2047898630742,37.8952278858053,37.0232465672357
322,39.3830765003942,41.0898587055709,40.3426274238839,41.1116853175378,40.1888790536133
323,42.4616620782478,44.3269151867839,43.457405627396,44.32176285874,43.3763247717939
324,45.5116005541229,47.5444068205566,46.5383296342273,47.5032959633591,46.5483863673177
325,48.5121676956799,50.7159252194088,49.5814576734135,50.6382454163333,49.6688965547684
326,51.4425280936228,53.8149398324357,52.5826043237397,53.7084253328367,52.7016514262176
327,54.2680740754709,56.7997868753397,55.5074015120724,56.6774808237764,55.605910388345
328,56.9308713463124,59.6031708127593,58.2703596236803,59.4782834447769,58.3332488858111
329,59.3707283701714,62.1553158085001,60.7810421792227,62.0407268950289,60.8344988113691
330,61.527212818621,64.3895786846541,62.9580242405053,64.2969101715201,63.0570541892164
331,63.3388406914284,66.2529982885882,64.7592391786229,66.1885640080683,64.9332939987651
332,64.7438409490071,67.6963477882723,66.1533626738182,67.6600479885745,66.3914990694844
333,65.6943532600811,68.6838144494642,67.1210566682767,68.6694790854542,67.374800880398
334,66.3206772087667,69.351383983317,67.7964926347952,69.3511697000526,68.0165301421822
335,66.8763793181642,69.953907606951,68.4200536477072,69.9613399655383,68.581614378586
336,67.6157916701049,70.7468836767193,69.232594832299,70.7569320739728,69.3358324151601
337,68.6713244987202,71.8617000975966,70.3564456682716,71.8717927174667,70.4172449628223
338,69.9738643532672,73.2246035634858,71.7180255068199,73.2363049824708,71.7528084425563
339,71.4354084956329,74.7426124017096,73.2253905835663,74.761780834744,73.2496919754063
340,72.9594115442568,76.3161068472295,74.7793870495017,76.3509646425574,74.8081052799179
341,74.4127812018068,77.8170682203264,76.250015058434,77.8699471006847,76.298484539258
342,75.6526536161298,79.1098848188389,77.4990274648816,79.1750188052482,77.5833053815903
343,76.5562468763796,80.0783785365885,78.4084486851179,80.1428623474265,78.5445024221739
344,77.2534637712194,80.850897796602,79.1153735548613,80.906746309723,79.3088563408134
345,78.046851525082,81.722861464824,79.9311713662263,81.7752492312185,80.1704365797357
346,79.2393418767641,82.9900143360229,81.1675032368043,83.0572933636609,81.4236690286091
347,80.9257268322531,84.7434324107132,82.9191474304462,84.8471587097571,83.1601609507729
348,82.8591882478941,86.7382782312328,84.9249223799749,86.8868428424036,85.1386427467236
349,84.7611843630136,88.6985197459949,86.890590318433,88.8856286364784,87.0869322163742
350,86.3944377289437,90.389047553231,88.5668494189218,90.5964507907679,88.7717070002644
351,87.6979147894072,91.7495368711102,89.896323627668,91.9586851921385,90.1256189000626
352,88.6576265947155,92.7663180022485,90.8728674462863,92.9614742880233,91.1256230348933
353,89.2653389290379,93.4310284237276,91.4957715216602,93.599831571358,91.755309040345
354,89.5856251000989,93.8024503166619,91.8331024768714,93.9430493867102,92.082206105067
355,89.7330008409407,93.9854238683014,92.0001039146205,94.1113717635718,92.2314218746487
356,89.823704581124,94.0866512508883,92.1136976515492,94.2267881183138,92.3298983406542
357,90.0279307411359,94.2823562230017,92.3454552394713,94.4654575645463,92.5558096124916
358,90.605266545547,94.8639439983342,92.9574904106981,95.0932860827123,93.1722097655304
359,91.823704042073,96.1336492949187,94.2204297864932,96.3846177658219,94.4501333956054
360,93.8700249935246,98.3023937673258,96.3232687218565,98.5314660709333,96.5778881281975
361,96.578405010672,101.184627761398,99.1005685648508,101.36837386167,99.3845901548379
362,99.6873437215807,104.487223289878,102.290718711571,104.632888103776,102.601892837146
363,102.938149873621,107.921149739101,105.634411114823,108.064451048033,105.96426750638
364,106.108700848808,111.250707574584,108.902316362956,111.427185386132,109.242869704334
365,109.002456570401,114.277506407949,111.886077379976,114.502479655305,112.234518368161
366,111.423978935252,116.804503394224,114.378425521684,117.072761817253,114.737163710954
367,113.222743669832,118.679938408354,116.223326592735,118.973806435082,116.595823009725
368,114.324530983483,119.828982518996,117.351789033824,120.132019061679,117.735476172229
369,114.662534039208,120.184280633207,117.70327744711,120.482610018701,118.088871447662
370,114.259193669585,119.770863022251,117.306124076785,120.053836165735,117.680276568138
371,113.537711925829,119.028610802482,116.587715895171,119.291774167737,116.94492192371
372,113.033733042024,118.513800420976,116.087403264828,118.759729026079,116.43334232059
373,113.244694269839,118.742955087295,116.306129276099,118.980834218443,116.656769394846
374,114.145667822488,119.689093022951,117.21973436822,119.928999712581,117.589082942851
375,115.333469797654,120.931668427337,118.423820498826,121.180430545532,118.815054370117
376,116.397546950847,122.042473578566,119.50654761291,122.303581204444,119.911885327323
377,117.022289991058,122.692585715246,120.148515210977,122.966529275495,120.55541661124
378,117.059995503983,122.728664909059,120.193799708518,123.013533167019,120.595929745979
379,116.380133322643,122.01532967053,119.50319777852,122.306870887933,119.901547881053
380,114.93963814703,120.508533665329,118.028489276523,120.801134871672,118.429623517242
381,113.108338386337,118.595394663003,116.150956611746,118.8867044736,116.558732431502
