[Spectrum]																																																																																																																																				
IDData	00E5_2023-03-10_14-52-09_546_301	00E5_2023-03-10_14-52-12_546_313	00E5_2023-03-10_14-52-14_546_323	00E5_2023-03-10_14-52-16_546_335	00E5_2023-03-10_14-52-18_546_343	00E5_2023-03-10_14-52-20_546_353	00E5_2023-03-10_14-52-22_546_365	00E5_2023-03-10_14-52-24_546_373	00E5_2023-03-10_14-52-26_546_383	00E5_2023-03-10_14-52-28_546_395	00E5_2023-03-10_14-52-30_546_403	00E5_2023-03-10_14-53-31_855_418	00E5_2023-03-10_14-53-34_855_430	00E5_2023-03-10_14-53-36_855_440	00E5_2023-03-10_14-53-38_855_452	00E5_2023-03-10_14-53-40_855_460	00E5_2023-03-10_14-53-42_855_470	00E5_2023-03-10_14-53-44_855_482	00E5_2023-03-10_14-53-47_855_499	00E5_2023-03-10_14-53-50_855_511	00E5_2023-03-10_14-53-52_855_521	00E5_2023-03-10_14-53-54_855_533	00E5_2023-03-10_14-53-57_855_550	00E5_2023-03-10_14-54-00_855_560	00E5_2023-03-10_14-54-02_855_572	00E5_2023-03-10_14-54-04_855_580	00E5_2023-03-10_14-54-06_855_590	00E5_2023-03-10_14-54-08_855_602	00E5_2023-03-10_14-54-11_855_619	00E5_2023-03-10_14-54-42_415_631	00E5_2023-03-10_14-54-45_414_643	00E5_2023-03-10_14-54-48_414_655	00E5_2023-03-10_14-54-50_414_665	00E5_2023-03-10_14-54-52_414_677	00E5_2023-03-10_14-54-54_414_685	00E5_2023-03-10_14-54-56_414_695	00E5_2023-03-10_14-54-58_414_707	00E5_2023-03-10_14-55-01_414_724	00E5_2023-03-10_14-55-04_414_736	00E5_2023-03-10_14-55-06_414_746	00E5_2023-03-10_14-55-08_414_758	00E5_2023-03-10_14-55-11_414_775	00E5_2023-03-10_14-55-14_414_787	00E5_2023-03-10_14-55-16_414_797	00E5_2023-03-10_14-55-55_677_814	00E5_2023-03-10_14-55-58_677_826	00E5_2023-03-10_14-56-00_677_836	00E5_2023-03-10_14-56-02_677_848	00E5_2023-03-10_14-56-04_677_856	00E5_2023-03-10_14-56-06_677_866	00E5_2023-03-10_14-56-08_677_878	00E5_2023-03-10_14-56-10_677_886	00E5_2023-03-10_14-56-12_677_896	00E5_2023-03-10_14-56-45_927_913	00E5_2023-03-10_14-56-48_927_925	00E5_2023-03-10_14-56-50_927_935	00E5_2023-03-10_14-56-52_927_947	00E5_2023-03-10_14-56-54_927_955	00E5_2023-03-10_14-56-56_927_965	00E5_2023-03-10_14-56-58_927_977	00E5_2023-03-10_14-57-00_927_985	00E5_2023-03-10_14-57-02_927_995	00E5_2023-03-10_14-57-04_927_007	00E5_2023-03-10_14-57-06_927_015	00E5_2023-03-10_14-57-08_927_025	00E5_2023-03-10_14-57-10_927_037	00E5_2023-03-10_14-58-30_167_049	00E5_2023-03-10_14-58-34_167_060	00E5_2023-03-10_14-58-37_167_072	00E5_2023-03-10_14-58-39_167_082	00E5_2023-03-10_14-58-42_167_099	00E5_2023-03-10_14-58-45_167_111	00E5_2023-03-10_14-58-47_167_121	00E5_2023-03-10_14-59-29_346_132	00E5_2023-03-10_14-59-32_345_144	00E5_2023-03-10_14-59-34_345_154	00E5_2023-03-10_14-59-36_345_162	00E5_2023-03-10_14-59-39_345_174	00E5_2023-03-10_14-59-41_345_184	00E5_2023-03-10_14-59-43_345_192	00E5_2023-03-10_14-59-46_345_204	00E5_2023-03-10_14-59-48_345_214	00E5_2023-03-10_14-59-50_345_222	00E5_2023-03-10_14-59-53_345_234	00E5_2023-03-10_14-59-55_345_244	00E5_2023-03-10_14-59-57_345_252	00E5_2023-03-10_15-00-00_345_262	00E5_2023-03-10_15-00-36_756_270	00E5_2023-03-10_15-00-39_756_282	00E5_2023-03-10_15-00-42_756_294	00E5_2023-03-10_15-00-44_756_304	00E5_2023-03-10_15-00-47_756_321	00E5_2023-03-10_15-00-50_756_333	00E5_2023-03-10_15-00-52_756_343	00E5_2023-03-10_15-01-24_316_358	00E5_2023-03-10_15-01-52_397_370	00E5_2023-03-10_15-01-55_397_384	00E5_2023-03-10_15-01-58_397_396	00E5_2023-03-10_15-02-01_397_411	00E5_2023-03-10_15-02-04_397_423	00E5_2023-03-10_15-02-06_397_433	00E5_2023-03-10_15-02-09_397_450	00E5_2023-03-10_15-02-12_397_462	00E5_2023-03-10_15-02-15_397_477	00E5_2023-03-10_15-02-18_397_489	00E5_2023-03-10_15-02-20_397_499	00E5_2023-03-10_15-02-50_207_516	00E5_2023-03-10_15-02-53_207_528	00E5_2023-03-10_15-02-56_207_540	00E5_2023-03-10_15-02-58_207_550	00E5_2023-03-10_15-03-01_207_567	00E5_2023-03-10_15-03-04_207_579	00E5_2023-03-10_15-03-06_207_589	00E5_2023-03-10_15-03-09_207_612	00E5_2023-03-10_15-03-13_207_624	00E5_2023-03-10_15-06-33_766_646	00E5_2023-03-10_15-06-38_766_681	00E5_2023-03-10_15-06-46_766_703	00E5_2023-03-10_15-07-16_888_738	00E5_2023-03-10_15-07-25_888_757	00E5_2023-03-10_15-07-30_888_780	00E5_2023-03-10_15-07-56_767_801	00E5_2023-03-10_15-08-01_766_820	00E5_2023-03-10_15-08-06_766_837	00E5_2023-03-10_15-08-11_766_856	00E5_2023-03-10_15-08-41_157_873	00E5_2023-03-10_15-08-46_157_892	00E5_2023-03-10_15-08-51_157_916	00E5_2023-03-10_15-08-56_157_937	00E5_2023-03-10_15-09-22_937_972	00E5_2023-03-10_15-09-31_937_000	00E5_2023-03-10_15-09-38_937_026
392.26932853824	35.1448102970891	35.1282559733526	35.0442109451518	34.7377437211063	34.7226042968345	34.7702864087935	34.685109461021	34.8655091427652	35.0754802233208	35.0419471060083	34.8585761353883	28.2201508270952	34.3211973187104	20.6179972552769	36.0129926086047	36.5918279795972	36.9267346828823	36.8574046091139	36.827974700249	36.8078831278508	37.0083743819932	36.8381619763946	36.644886709522	36.6204089487833	36.6003173763852	36.5645204199293	36.5331096518138	36.5267426042228	36.4189272650157	35.5115522383291	34.5985176137838	34.830844105881	35.0989675544341	34.3584091746309	34.8633867935682	34.5737568731522	34.3572772550592	34.2092787710557	34.8210812995748	34.9298870684072	34.9508275804842	34.607997440197	34.4984842216323	34.7023712344898	28.4176707923617	28.1011577821172	28.2725021072876	28.6037300719646	28.4837465973614	27.9203336305336	27.6667836464665	27.8890643523646	28.1764304336372	32.3492519348133	32.2770920621156	31.8768170035632	32.0934381116027	32.1472042912598	32.3021357826401	32.2579909193427	32.1549862383154	32.1575330573518	32.0809869963137	31.9249235853617	31.7129716455556	31.6698172118834	0.571335422738277	0.600729959116594	0.612632800863049	0.607061634220949	0.61657683312079	0.617602635232668	0.615780952171918	0.531594434024631	0.532054276350645	0.552110476262205	0.558512896339793	0.562368497380992	0.524130839348548	0.539341008593646	0.531116905455308	0.554869530218292	0.55945026723513	0.545212841371986	0.570557228032713	0.550819380500702	0.547264445595743	0.577366431706391	0.586015004684127	0.579382663443532	0.583185205754807	0.585961945954202	0.581275091477515	0.570451110572864	0.55610756724987	0.480852601973251	0.509946472215328	0.533168509679065	0.53909340118733	0.52278668485712	0.537024110720264	0.557292545551523	0.527508911820424	0.590047468158409	0.591126329000212	0.572060558713915	0.561183519079339	0.548679345060404	0.541374926574095	0.528746948852002	0.532620236136509	0.512882388604498	0.5236002520493	0.519863424943142	0.550699390151082	0.429179119056839	0.359673136193786	0.450164800080466	0.550267983866798	0.543144849374399	0.549830249344919	0.563501715422199	0.566428788689715	0.549958474608904	0.532634799288469	0.443456338967427	0.417236483262941	0.474124284863939	0.444906610918704	0.375977641743583	0.367050510433742	0.348309724868233
395.61127142768	37.9705890574726	37.9434093823509	37.9175239774732	37.5672081647944	37.5518207296726	37.5433360691849	37.4930033374782	37.6893009911344	38.4592479784424	37.8686293238152	37.710728354061	30.4484342078054	37.1101869608974	22.2812725172181	38.9591239081926	39.5396760164784	39.9473711433028	39.8846709403768	39.8055766476948	39.7696246964757	39.9578691130588	39.8366391335481	39.5780727003804	39.5428397881857	39.5431274037954	39.5352179745272	39.5084697228202	39.4942327501375	38.9238909959979	38.3692242925898	37.7182063599146	37.6359482955253	37.9291724096682	37.5569978106482	37.6949094955246	37.3332328662606	37.167566275043	36.952429798948	37.6286140974766	37.6460148418666	37.7527202330849	37.4198051647962	37.2437844116275	37.443245836991	30.24537758732	30.3482001678066	30.5068201765852	31.0842085131638	30.7758845795089	30.1411169287847	29.9222414497629	30.086038539517	31.5558981131582	34.9299168311671	34.8617519316557	34.8121382389733	34.7035633462917	34.6986738809259	34.8535548867777	34.857869120924	34.7816509843395	34.7868280653151	34.7064395023892	34.5504080340984	34.3246297804425	34.2238205092242	0.641717523485471	0.673535000314363	0.688544939948332	0.68191180494841	0.688670771777599	0.691654783728783	0.688185420436141	0.595177722632363	0.597586503364042	0.633178935070938	0.625772833119806	0.626132352631997	0.590827536534853	0.606610443120032	0.594692371290905	0.617863403851607	0.626078424705168	0.609666358973655	0.620218256656457	0.614070472997993	0.616281517997967	0.648494466290269	0.654049042753618	0.651837997753644	0.616227590071138	0.658848628241366	0.649555048851232	0.634994508607502	0.631740857022174	0.541016108120808	0.571880858242395	0.597424719583556	0.605711644339555	0.590108497510472	0.604579157876154	0.624856058363719	0.589731002022671	0.654911889582876	0.660214802387691	0.641160268241575	0.633987853973367	0.615454623119928	0.607059842510271	0.592283590559226	0.599132437266462	0.581012653852042	0.591258959949482	0.588702766906704	0.620529231723401	0.473776058587878	0.397819919520147	0.497478728299456	0.605827575415585	0.597617048555926	0.606110697031435	0.622594666665386	0.624922555506822	0.606807266086305	0.587015716940197	0.4920890837401	0.463660078313608	0.522693182215348	0.492996870508382	0.416696940907119	0.406814648315773	0.386472584916623
398.95371014	45.9806075514894	46.0003841152185	44.9561815503182	45.4932251253637	45.527650995559	45.4926391531051	45.3780815765405	45.6228714875883	46.0617647093113	45.8899283444645	45.7369895849589	36.9309984820841	44.9406532854642	26.9967244208492	47.2064615165688	47.8664127728646	48.3924693680606	48.3075033905575	48.2058372036831	48.1771245630096	48.3583364839947	48.2480272063053	47.9371689230956	47.8907306215982	47.8989342332192	47.8750558636796	47.8504450288166	48.1312722337709	47.5634651151466	46.4130550783673	45.7182384726823	45.5421538089604	45.9331437985394	45.5540197471979	45.6180372164545	45.1889590300638	44.9542771404776	44.7746766432038	45.5689620397932	45.5444976979949	45.703296180087	45.3087903569561	45.0793822176977	45.5989931180486	37.0590334205974	36.7682446872462	36.9351002878946	37.5311805679984	37.2645631903162	36.4940096702017	36.2420415989855	36.4220815754534	37.2839002748514	42.3135931569066	42.2125129422908	42.2595372160468	42.0434599456725	42.0384791814741	42.2278947140802	42.2296526308561	42.1124581791276	42.1098213039637	42.0121104298352	41.8083385768923	41.6363557189809	41.4308259492621	0.79049349480007	0.833452586011775	0.850061237217665	0.843304244610197	0.853155903208619	0.855206806113866	0.853650317301848	0.730229910325338	0.730706012785484	0.76432617112508	0.773262248069373	0.775606137103942	0.730413026656163	0.749127515666548	0.738634949910236	0.785311302637703	0.787417140442199	0.754547759058988	0.757715671582273	0.7570564527913	0.757990346078511	0.803329949590951	0.809647463004437	0.802450991202987	0.79584049166018	0.809592528105189	0.805399164129281	0.785292991004621	0.782637804207648	0.668135162542348	0.704849986872898	0.739770271161356	0.74821193401242	0.729350951937374	0.748706348105649	0.77166913599119	0.72468148550132	0.811515249578859	0.823179759852455	0.800143725434584	0.789870899275263	0.765717855239355	0.747607650120695	0.731896268935851	0.742828313886145	0.719426046806622	0.726567583708824	0.733087353293141	0.771111459389094	0.583165849441345	0.488872590888525	0.611858096579325	0.742321408378487	0.733051144130437	0.744257863576969	0.765499357952748	0.767046690948225	0.746285876940863	0.720356604495947	0.606435357181018	0.574261817854946	0.644697514507045	0.60958495807122	0.51304623551165	0.50071335063054	0.475871331399901
402.29663315592	52.5726252476866	52.5952313189574	52.3452347660805	51.972012961963	52.0413086967734	52.0113150205121	51.9383254832065	52.1559643262252	52.5746937770839	52.467869008922	52.2577655229936	42.1952565176009	51.3242677564003	30.8789448274166	53.9393321709199	54.7219750436082	55.321700816733	55.204090145285	55.0882524990347	55.0646121630653	55.2420624349359	55.1281455659832	54.8199346857816	54.7145874386178	54.7255210940036	54.754628257666	54.6845937623565	54.7683692029482	54.4111046256101	53.0353848242884	52.2468318676077	52.0559361546545	52.5167749539588	52.0838613015184	52.1138549777796	51.6943867664218	51.3965185332069	51.172821854096	52.0936129401058	52.0556406504548	52.202506237665	51.7434404635584	51.5253583642403	51.9457130881969	42.4440710536793	42.0417420858993	42.1807768118196	42.8378303996703	42.5370071244591	41.4539842328591	41.4046350315229	41.6447321937125	42.4261930496024	48.4246327976485	48.2721526306456	48.3116024412946	48.0537750271279	48.0487514557344	48.2610712231599	48.2468870215782	48.0994304259689	47.7164569832639	48.0061988509894	47.7820589155791	47.5687048834549	47.390663603185	0.92981358090862	0.979790728669017	0.996874565209433	0.991056826279454	0.999663386093328	1.00405901106265	0.998499838307332	0.854072160744027	0.855882123966687	0.890788557546566	0.904788069003469	0.907484544824984	0.859243484237343	0.87446195051767	0.865208975267131	0.919600217009322	0.930367651282904	0.882920758231736	0.884453686267254	0.887778108512957	0.887057817026388	0.941098147531533	0.946805072386656	0.939546750483538	0.933544321428797	0.940100820857822	0.932546994755086	0.921908843568838	0.918233510086089	0.788119317191781	0.829803878350397	0.869346034061783	0.879522459936129	0.852853205920603	0.879023796599273	0.904511033816327	0.84714628106548	0.949353796108361	0.967434959322489	0.940544077157249	0.937164247874118	0.908814313723265	0.881572520320979	0.858079936451346	0.874425012492718	0.842178116709402	0.858689413863058	0.864583733116397	0.908419934228482	0.676215009755996	0.567975729581464	0.71030255697561	0.860009387412164	0.847418138156565	0.861962485481514	0.887791399429377	0.888936478202896	0.865670139736097	0.833534058027637	0.706998236300579	0.67014332190447	0.747916333441436	0.710507348671043	0.596346441371353	0.582120684511617	0.553948514605846
405.64002895616	54.8282057155045	54.8883746327134	54.6236313969942	54.2269622390985	54.2698975898969	54.2477613709731	54.1716959744029	54.4386676885372	54.8195889322992	54.7014795762966	54.4875456484427	44.024690924111	53.4606627947441	32.204562939566	56.2024340715103	57.0803060018496	57.6271746049261	57.5971644289355	57.4619700717501	57.3927386756529	57.6059297773684	57.4512733753574	57.1921756182899	57.059506869975	57.0731748709212	57.0944196984789	56.9838871690877	57.0440560862966	56.7944665038004	55.2961861826848	54.49794521438	54.287279721535	53.742491031646	54.3207068977622	54.3508656389805	54.2820799385664	53.7418967707353	53.3618669183393	54.2770287208254	54.2816342428833	54.4186113828009	54.0987504476138	53.6682084178079	54.1015731869397	44.2427846783398	43.8248706928864	43.9512997016389	44.6066209209191	44.3736706439227	43.3996770112768	43.1575156901644	43.393585836942	44.2702692454599	50.4514741081604	50.3489641010638	50.4073502355406	50.0598561680057	49.2846428099907	50.3191024903008	50.3289077953275	50.1512237830266	50.049605167296	50.0307373833811	49.7652513215236	49.6202516593115	49.4144888189798	1.00634338875581	1.05860120759095	1.07644760556557	1.0742748391108	1.08292876362295	1.08467440504814	1.08276162774181	0.921494073099177	0.925319627711842	0.95841253217674	0.973157631023613	0.981217294625053	0.927362399592391	0.945338792141224	0.936034894757996	0.979694501041371	0.983167213238304	0.959526771384312	0.954716972138291	0.962739494432812	0.959341064849716	1.01434734039687	1.02142275936495	1.0147930360799	1.00976038899236	1.02069850388003	1.00842330194328	0.994049616165594	1.00305638309347	0.855178269595165	0.905114756747864	0.945877341091551	0.955441227623213	0.927622388740825	0.953602732930719	0.987252756999403	0.920212698010469	1.0306709447878	1.04484035337743	1.01913856898943	1.02108848760268	0.993585349829106	0.959842472493124	0.931875068383059	0.950315727268381	0.916888551041211	0.924799649414975	0.976985518115959	0.987468651993868	0.718450689555468	0.604717626894127	0.754220672570142	0.909858414762932	0.896696464123484	0.912323669009686	0.940718198149321	0.943875209237442	0.917472382681343	0.884741605958906	0.753748859118686	0.716356848377905	0.794223598333751	0.759282913849629	0.635082966632155	0.620361081102106	0.59052964765104
408.98388602144	56.1493571667538	56.1719734327201	55.929846350022	55.5271881245828	55.6098187956623	55.5691686444157	55.4642173448335	55.7378298174062	56.1487658918265	56.0019818911433	55.8263732377579	45.0861598222061	54.7753820546181	32.9620835615258	57.5619129678908	58.4486775399943	59.0061019776343	58.9576174336019	59.1849626431194	58.8100943392597	58.974320950296	58.8603527080737	58.5466813591816	58.451929552094	58.4655288754202	58.4281307362733	58.3154928626372	58.4099490322611	58.1509706141372	56.6336113321498	55.7914880170517	55.5632558951435	55.8247472317081	55.6098187956623	55.6611118955989	55.3824735861449	54.9168445809563	54.6265285916896	55.5158060822338	55.5390136231273	55.7072313399224	55.3597095014468	54.9685811370884	55.3997683777661	45.2685681372545	44.8607362562021	44.1537192619746	45.6571835831722	45.4387074975631	44.4350183086012	44.2313240961726	44.4582258494947	45.3783974549863	51.6456160460921	51.5382996468011	51.5804279853657	51.2586266062243	51.1870823400303	51.0589234995546	51.5449514897323	51.3681602864925	51.2963203828348	51.2615829808604	50.9814664840883	51.3746643106919	50.597876875052	1.07838972820891	1.12805682209568	1.14947206086606	1.14398429044777	1.15725102162735	1.1586552995795	1.15209584335562	0.979665292704053	0.985467177927434	1.01540047111813	1.03206703312924	1.04407730508847	1.01543742580108	1.00571834418484	1.00045230186426	1.03990142591495	1.04368928091748	1.02116540165855	1.01704495450947	1.02436198173386	1.02497173400256	1.07737347442774	1.08873703943532	1.07848211491629	1.07447253181605	1.08469050165213	1.07214438679011	1.053186634436	1.07279109374176	0.91966936493234	0.967359383281213	1.00824973996702	1.02175667658578	0.990751697589494	1.02125778836593	1.05407354682684	0.982714054047549	1.09793875549024	1.10937622986372	1.0864643264338	1.09173036875439	1.0637002417357	1.02646839866209	0.990659310882116	1.01865248321785	0.979739202069956	0.984284628072987	1.0154024863729	1.05759549563274	0.750175115122215	0.633475039842848	0.787673073793229	0.945443659837786	0.931599511737091	0.949808931761429	0.981968744599946	0.984943596577539	0.956262143271829	0.920536203528495	0.789869063947463	0.752914380995992	0.828976357180857	0.798285492989661	0.664851875336332	0.649538778588316	0.619607795065309
412.32819283248	57.8906822438714	57.9182415004111	57.7450118878754	57.2821913574139	57.3820754353491	57.2658599461311	57.1938267570801	57.4637324917632	57.8848495969846	57.7216813003285	57.5930714364763	46.497043999173	56.4513308084001	33.9818495594651	59.3523435536843	60.253341681511	60.8373354510442	60.8472509507517	60.7828002026534	60.6229856779571	60.588135612809	60.6961853963855	60.3263955837672	60.2224286530114	60.251591887445	60.2278238513816	60.1455835302788	60.2650069752845	59.8914259421898	58.360501950597	57.5192884533592	57.2626519903434	57.5862180763844	57.3033347023783	57.3775551340118	56.9819558589198	56.6433707071455	56.2782470120366	57.2315931456716	57.2203653004146	57.4309238530254	56.9831223882971	56.6419125454238	57.048885481945	46.6664823912323	46.2379286612303	46.2727787263784	47.0839540921496	46.8133192766056	45.8153533942871	45.5750483425541	45.7752539469409	46.8299423202327	53.2327304401338	53.1163691347436	53.1605514349106	52.8562330835957	52.8119049672566	52.9453267647905	53.1281802446892	52.9537841027762	52.8986655896967	52.8670234803362	52.5854524518796	52.4851309254279	52.1834372652122	1.14768466143042	1.20980235077403	1.23191172787901	1.22387361138825	1.23433592174131	1.23834586647593	1.23351570577286	1.04340787130871	1.05602097020125	1.0839083131284	1.10494229596365	1.11350899607852	1.06130680644234	1.07665395856304	1.06817839355577	1.10578073895361	1.11050153752756	1.08926705745558	1.08815520914279	1.09176415940395	1.09892737886171	1.15390007576908	1.15953222541908	1.15007240124967	1.14939800145339	1.15783711241762	1.1418520145437	1.15760016113785	1.15430107024255	0.984552818817364	1.03684614356115	1.08079149244831	1.09838056821608	1.06484284861742	1.09887269779715	1.1322281471806	1.05264897121986	1.16598459103752	1.18875014091726	1.16253968397004	1.17593654478799	1.14106825261829	1.10171611315443	1.06278319518555	1.0976150333122	1.05102676630449	1.05682295914818	1.09060535519004	1.13747614103132	0.787780925466289	0.667035674313514	0.827428906943038	0.989344442956398	0.974867631113334	0.994470792759182	1.03070611154295	1.03347661881415	1.00337924952758	0.963544093993406	0.833416830599522	0.796142571589053	0.870763997696075	0.844015843613991	0.700078985953418	0.684317169093123	0.653233262266728
415.67293787	59.0498670274943	59.0717724451844	58.8965291036637	58.3879797988585	58.5556349891532	58.4389492674707	58.3244111357579	58.6306574654251	59.0389859049815	58.8942383410294	58.7834226985972	47.4092135288504	57.5773361716606	34.6776167030354	61.3818633891684	61.4057732241634	62.0925724964467	62.0584974022621	61.9359416013294	61.8434520599712	61.8788157081376	61.5493754067984	61.5445075362006	61.4269627785303	61.4633286353491	61.4348372750856	61.3643963240821	61.4094957134441	61.0839210740502	59.5008609211137	58.6285098754555	58.3662175538331	58.7612309355778	58.7592265182728	58.5099629091327	58.0725704186542	57.6988897639409	57.7011805265752	58.3949952594259	58.3504685607225	58.5623641043913	58.0505218282995	57.7386917647112	58.2155999106306	47.6528934040695	47.177989675455	47.2663272095386	47.6066486333904	47.7352176862381	46.7269957818356	46.48589301458	46.7159714866582	47.7515393700072	54.3114245185327	54.1791329764044	54.2740564530614	53.9391755904659	53.9033824243056	54.0781962478324	54.2190781498392	54.0272267792202	53.9679532960587	53.9394619357952	53.6294931168472	53.4175975731784	53.2115721087599	1.21101272964286	1.2768363622116	1.30176630244223	1.29967240222185	1.30543510197366	1.3087280732604	1.30785114068948	1.09864008448268	1.11070238147869	1.10554816555161	1.16550171887007	1.17198028194508	1.11879163703092	1.13708194493881	1.12714934132934	1.16374785372822	1.1716044537004	1.15139921140292	1.14483116541251	1.15095179682592	1.15701873849009	1.21743760296863	1.22393406262672	1.21496787450357	1.21108431597518	1.21679332597774	1.20367513058	1.19336669872584	1.22524051319157	1.03924132523971	1.09670725351003	1.14823151619774	1.16550171887007	1.13096131352541	1.17210555802664	1.20099064311798	1.10932434458152	1.23284656100062	1.2558436702586	1.23365190723923	1.25196011173021	1.21031476290273	1.16555540861931	1.1224962297285	1.15701873849009	1.11739570355066	1.11471121608864	1.15770285582139	1.20903920438676	0.819777123543613	0.695139619548452	0.860557736958153	1.02501513830662	1.01015650020433	1.03109550240809	1.07062010614057	1.07374305988806	1.04185582298502	0.999924128828265	0.868209751504232	0.832738723839401	0.905524127226316	0.881918534143616	0.72967778782023	0.713315836739216	0.680741818460482
419.01810961472	59.1045539274899	59.1383368374881	58.9281320641656	58.4218054871545	58.6096273447992	58.4788054587565	58.375093315305	58.6574517112165	58.7211248502256	58.9759564305829	58.818302850591	47.4458353457417	57.5946107773203	34.727108796386	60.7108409320989	61.5073112669963	62.1391768058528	62.6716399552083	61.9370354431472	61.8747525473479	61.9516329968501	61.7994013653764	61.5894746406958	61.4603210465049	61.5431795418093	61.5105088263789	61.3995674182364	61.3707893837935	61.1897797178768	59.5349732252456	58.6328444064029	58.4432152325855	58.8067638319496	58.5921102803556	58.5277420197417	58.118037345812	57.7276570524987	57.5271839816448	58.4311201166602	58.4028981795011	58.5986444234417	58.0841154114928	57.768808251509	58.2318982646951	48.0352984666992	47.2213110673582	47.3496305156232	47.9328375421365	47.7573888490591	46.7983990829354	46.501721181963	46.780186896887	46.8923795239183	54.3732782358805	54.2248002610733	54.2844416947739	53.9817857479993	53.9570394188648	54.1793393081127	54.2510758577386	54.0447637654035	54.0047247609611	53.9545369810872	53.656051763942	53.5403835288862	53.2802690243316	1.25372367456205	1.3251474194658	1.34872941991212	1.34169131366248	1.35291752758166	1.36018154835289	1.35307392994276	1.13553562368848	1.14881244634212	1.16445268245243	1.20233680991962	1.20518680849972	1.15291366381104	1.16879719248307	1.16540847465917	1.20595144226512	1.21139076882348	1.1914581568029	1.18101395468923	1.19133651052204	1.19597644723476	1.25777275791061	1.26376818175289	1.25381056476266	1.24628587338959	1.2524550776331	1.23533770811238	1.22720478533501	1.26910324007052	1.08192436991036	1.19434291146324	1.19244870508988	1.20984412325257	1.17255084914954	1.23502490339017	1.24712001931548	1.14872555614151	1.27398646934496	1.30226054062438	1.27508128587268	1.30537120980632	1.26024043960801	1.20927064792853	1.16276701256054	1.20223254167889	1.15343500501472	1.20900997732669	1.20406379587538	1.25766636063343	0.836317335303475	0.710773496688917	0.878280425430331	1.04100458088712	1.02555984772819	1.04722157474097	1.08966743774034	1.09269990574172	1.06032896150341	1.01734437926025	0.88842973312102	0.852969842250924	0.923959136151606	0.903383536646488	0.745171154856521	0.729165979903637	0.696558259868657
422.36369654736	58.8095768622298	58.8543014094919	58.6125470999667	58.1596606934562	58.2903423285495	58.2123094097528	58.1121156792496	58.3848951251638	58.7123379066207	58.6756718363427	58.4919385611036	47.1982516836848	57.2565740394299	34.5646097447956	60.3299428532437	61.1864246487116	61.7799314785959	61.8688433413213	61.6112406937272	61.5341479305786	61.6664412610688	61.5121214268219	61.3068988796249	61.1313583893197	61.1823954102195	61.1895137315555	61.0412377550467	60.8659658806409	60.8579074036568	59.2157241022321	58.346617359489	58.1271581696201	58.466285742704	58.2347388373588	58.2063998599644	57.8081767889965	57.4020295489942	57.1745118821411	58.1130558348978	58.083373778006	58.2531390264726	57.7415600459274	57.4514548744971	57.7102662936388	47.5307981672316	46.9523338277178	47.0908053238958	47.7146657504205	47.4992357990436	46.5292637860487	46.2474857075021	46.547932591062	47.393669750551	54.0816684156155	53.9430626114877	54.0006807219246	53.6720291689201	53.67713287101	53.8943088257335	53.9684468139879	53.7183654115791	53.699025066817	53.6602100693433	53.3597631857834	53.2383487992218	52.9846410821701	1.28404968210189	1.35939644190391	1.38429377808626	1.37870320967849	1.38773541929825	1.39445081678506	1.38909528728933	1.16382727859426	1.17876903800242	1.19629622544299	1.22624689823417	1.23987915513239	1.1809179651982	1.198075805777	1.19147792774621	1.23094767647494	1.15581916709124	1.22208335179235	1.20987811686007	1.22257021811014	1.22644836015877	1.28101096473911	1.28952273105364	1.27808976683235	1.27263350637431	1.28101096473911	1.26024359801115	1.25117781140395	1.30495135677959	1.11263916125105	1.19132683130275	1.22908415367235	1.2464938216569	1.20532843506275	1.25903482646352	1.28854899841806	1.1820092172898	1.30574041598429	1.33396187392261	1.30558931954084	1.34512622224444	1.29941115385297	1.24654418713805	1.19557432021316	1.23672291831359	1.18263039155733	1.19612834050582	1.24037044058118	1.29426989965969	0.848944722010758	0.722878928910636	0.891502559804454	1.05205191899935	1.03705559698662	1.05949341883942	1.10412562938614	1.10713076976149	1.07306271888621	1.0285899990298	0.902311146413758	0.86880970720143	0.937088511148579	0.919099640130784	0.756789587657315	0.740647450948394	0.708163814167662
