[Spectrum]																																																																																																																																						
IDData	00E5_2023-03-10_14-52-09_546_304	00E5_2023-03-10_14-52-12_546_316	00E5_2023-03-10_14-52-15_546_331	00E5_2023-03-10_14-52-18_546_346	00E5_2023-03-10_14-52-21_546_361	00E5_2023-03-10_14-52-24_546_376	00E5_2023-03-10_14-52-27_546_391	00E5_2023-03-10_14-52-30_546_406	00E5_2023-03-10_14-53-31_855_421	00E5_2023-03-10_14-53-34_855_433	00E5_2023-03-10_14-53-37_855_448	00E5_2023-03-10_14-53-40_855_463	00E5_2023-03-10_14-53-43_855_478	00E5_2023-03-10_14-53-46_855_490	00E5_2023-03-10_14-53-48_855_502	00E5_2023-03-10_14-53-50_855_514	00E5_2023-03-10_14-53-53_855_529	00E5_2023-03-10_14-53-56_855_541	00E5_2023-03-10_14-53-58_855_553	00E5_2023-03-10_14-54-01_855_568	00E5_2023-03-10_14-54-04_855_583	00E5_2023-03-10_14-54-07_855_598	00E5_2023-03-10_14-54-10_855_610	00E5_2023-03-10_14-54-12_855_622	00E5_2023-03-10_14-54-42_415_634	00E5_2023-03-10_14-54-45_414_646	00E5_2023-03-10_14-54-48_414_658	00E5_2023-03-10_14-54-51_414_673	00E5_2023-03-10_14-54-54_414_688	00E5_2023-03-10_14-54-57_414_703	00E5_2023-03-10_14-55-00_414_715	00E5_2023-03-10_14-55-02_414_727	00E5_2023-03-10_14-55-04_414_739	00E5_2023-03-10_14-55-07_414_754	00E5_2023-03-10_14-55-10_414_766	00E5_2023-03-10_14-55-12_414_778	00E5_2023-03-10_14-55-14_414_790	00E5_2023-03-10_14-55-17_414_805	00E5_2023-03-10_14-55-55_677_817	00E5_2023-03-10_14-55-58_677_829	00E5_2023-03-10_14-56-01_677_844	00E5_2023-03-10_14-56-04_677_859	00E5_2023-03-10_14-56-07_677_874	00E5_2023-03-10_14-56-10_677_889	00E5_2023-03-10_14-56-13_677_904	00E5_2023-03-10_14-56-45_927_916	00E5_2023-03-10_14-56-48_927_928	00E5_2023-03-10_14-56-51_927_943	00E5_2023-03-10_14-56-54_927_958	00E5_2023-03-10_14-56-57_927_973	00E5_2023-03-10_14-57-00_927_988	00E5_2023-03-10_14-57-03_927_003	00E5_2023-03-10_14-57-06_927_018	00E5_2023-03-10_14-57-09_927_033	00E5_2023-03-10_14-58-30_167_045	00E5_2023-03-10_14-58-34_167_063	00E5_2023-03-10_14-58-38_167_078	00E5_2023-03-10_14-58-41_167_090	00E5_2023-03-10_14-58-43_167_102	00E5_2023-03-10_14-58-46_167_117	00E5_2023-03-10_14-59-29_346_135	00E5_2023-03-10_14-59-33_345_150	00E5_2023-03-10_14-59-36_345_165	00E5_2023-03-10_14-59-40_345_180	00E5_2023-03-10_14-59-43_345_195	00E5_2023-03-10_14-59-47_345_210	00E5_2023-03-10_14-59-50_345_225	00E5_2023-03-10_14-59-54_345_240	00E5_2023-03-10_14-59-57_345_255	00E5_2023-03-10_15-00-36_756_273	00E5_2023-03-10_15-00-39_756_285	00E5_2023-03-10_15-00-43_756_300	00E5_2023-03-10_15-00-46_756_312	00E5_2023-03-10_15-00-48_756_324	00E5_2023-03-10_15-00-51_756_339	00E5_2023-03-10_15-01-24_316_354	00E5_2023-03-10_15-01-52_397_366	00E5_2023-03-10_15-01-55_397_378	00E5_2023-03-10_15-01-57_397_390	00E5_2023-03-10_15-01-59_397_402	00E5_2023-03-10_15-02-02_397_414	00E5_2023-03-10_15-02-05_397_429	00E5_2023-03-10_15-02-08_397_441	00E5_2023-03-10_15-02-10_397_453	00E5_2023-03-10_15-02-13_397_468	00E5_2023-03-10_15-02-16_397_480	00E5_2023-03-10_15-02-19_397_495	00E5_2023-03-10_15-02-22_397_507	00E5_2023-03-10_15-02-50_207_519	00E5_2023-03-10_15-02-53_207_531	00E5_2023-03-10_15-02-57_207_546	00E5_2023-03-10_15-03-00_207_558	00E5_2023-03-10_15-03-02_207_570	00E5_2023-03-10_15-03-05_207_585	00E5_2023-03-10_15-03-08_207_597	00E5_2023-03-10_15-03-10_207_606	00E5_2023-03-10_15-03-12_207_618	00E5_2023-03-10_15-03-14_207_630	00E5_2023-03-10_15-06-33_766_639	00E5_2023-03-10_15-06-37_766_654	00E5_2023-03-10_15-06-40_766_663	00E5_2023-03-10_15-06-42_766_672	00E5_2023-03-10_15-06-44_766_684	00E5_2023-03-10_15-06-47_766_696	00E5_2023-03-10_15-07-16_888_711	00E5_2023-03-10_15-07-19_888_720	00E5_2023-03-10_15-07-21_888_729	00E5_2023-03-10_15-07-23_888_741	00E5_2023-03-10_15-07-26_888_750	00E5_2023-03-10_15-07-29_888_762	00E5_2023-03-10_15-07-31_888_771	00E5_2023-03-10_15-07-33_888_783	00E5_2023-03-10_15-07-56_767_792	00E5_2023-03-10_15-07-59_766_804	00E5_2023-03-10_15-08-02_766_813	00E5_2023-03-10_15-08-05_766_825	00E5_2023-03-10_15-08-08_766_840	00E5_2023-03-10_15-08-12_766_849	00E5_2023-03-10_15-08-41_157_864	00E5_2023-03-10_15-08-44_157_876	00E5_2023-03-10_15-08-47_157_888	00E5_2023-03-10_15-08-50_157_900	00E5_2023-03-10_15-08-52_157_909	00E5_2023-03-10_15-08-55_157_921	00E5_2023-03-10_15-08-57_157_930	00E5_2023-03-10_15-09-22_937_945	00E5_2023-03-10_15-09-25_937_954	00E5_2023-03-10_15-09-27_937_963	00E5_2023-03-10_15-09-29_937_975	00E5_2023-03-10_15-09-32_937_984	00E5_2023-03-10_15-09-34_937_993	00E5_2023-03-10_15-09-37_937_005	00E5_2023-03-10_15-09-40_937_017	00E5_2023-03-10_15-09-43_937_029
710.35274979168	183.459873102322	182.716889572169	181.533235177298	180.796477766114	181.464056077657	181.577509801069	181.268971016667	181.628702334804	179.07460997603	179.288373393923	178.114404073003	178.225782423426	177.912401102049	177.45443546242	177.050429520512	176.636738504654	176.032113173785	175.669614691663	175.186052785167	175.531256492379	176.467249710532	176.007208697914	175.835644530803	175.430255006902	173.112755168903	172.108274642105	171.830174661545	173.251113368186	171.767913471867	171.804578394677	171.940861220971	171.461450060454	170.021832996909	171.15913739502	170.935688903177	170.629225491764	170.530991170272	170.151889704235	163.067297767512	162.796115696916	162.246141854764	161.478599744239	162.434654901288	162.319471700385	161.31810423307	158.747408890382	158.693103297163	158.658167851844	158.354471604417	158.517042488575	157.693119411842	157.392882119396	157.183269447482	157.408447416816	151.04466204077	150.608833713027	150.537579240396	151.2511616532	150.746846016812	149.894213613727	147.143306716473	147.478133558739	147.041959335497	147.041613439999	146.540756758593	147.786672343141	147.188619026738	147.155067163412	145.299337815521	142.865962985622	142.951053278182	143.440841303645	142.612421585435	142.734522696303	142.474755177148	138.373818150384	134.392215070503	135.432322833616	134.355550147692	134.308162464438	133.992705770071	133.803500932551	133.443769614414	133.258715522872	132.629877507129	133.184693886256	133.171203961825	133.048756955459	128.32520803192	127.098316699773	128.331434150888	128.708806139433	128.345269970816	127.660742779861	127.421728990598	126.512023830309	126.696386130855	126.376086899513	75.4346931251021	75.5017968517546	74.7985913038961	74.8253982050073	72.7489875292597	72.6358797013454	71.1372874553557	71.0608445502516	70.8059195680717	70.5553182796194	70.4185166100778	69.8877399680764	69.4588295502974	69.7173864352085	67.7566778036118	67.4739082338261	67.1293963176101	66.9336194656239	66.5360125904329	66.3056461886258	64.4454201992588	64.0760038071718	63.8070700573144	63.4454363139371	63.2939340857216	63.1439883872481	62.8729792644015	61.4316327233653	61.3109151944904	61.0578926375507	60.8681689567832	60.4359725317712	60.5406059199794	60.4904510727391	60.4413339119935	60.4167753316206
713.68030040172	169.85699238503	169.158419732178	168.103588969937	167.423840131084	167.93347746565	167.859576566246	167.736873186105	168.14960273749	165.462677583706	165.903991445238	164.4573464805	164.895871628847	164.554951441976	164.181263875181	163.761562540832	163.457592803663	162.88590660073	162.570782010821	162.108552800401	162.356051095573	163.28678412108	162.810611344734	162.713006383258	162.417402785644	160.106953911839	159.307987584326	159.015172699897	160.33423403642	158.877131397238	158.939180265605	159.176918064629	158.580830621327	157.255494680138	158.489500264517	158.138819581499	157.742125130927	157.79371632485	157.399113409167	150.808380504274	150.622931077469	150.156518797271	149.489667756899	150.258655417673	150.249243510674	149.265176345503	146.862699936593	146.80169683567	146.766489331709	146.535723315647	146.724658633933	145.938241515752	145.710961391172	145.52481478607	145.657627251508	139.746252477523	139.281931732214	139.210122367699	139.891614152293	139.414744197651	138.57429576151	136.178442546414	136.534700655803	136.051207507347	136.038309708866	135.502179599042	136.68250245461	136.192734701487	136.121273926121	134.470704309726	132.131322536627	132.16060402507	132.673030072821	131.831884458383	131.992584055671	131.724519000759	128.00576996851	124.300615913039	125.173134550808	124.200919416674	124.159437308046	123.860347818951	123.682218764256	123.3385098642	123.145740065285	122.662595505977	122.970748312923	123.044997801475	122.965519475702	118.587936953487	117.514630966396	118.587936953487	118.830206411438	118.526585263417	117.886924176598	117.746442749902	116.904948546317	117.084471957604	116.843248267098	69.3154048084594	69.3767564985302	68.7151342953798	68.7609737683589	66.8534939497926	66.7363679960209	65.2825769537456	65.2306371706742	64.9800015731689	64.7337233400152	64.6303666575947	64.1362415401207	63.7290894151051	63.9959344079984	62.1360370081518	61.8636145888884	61.5477928206828	61.3661778745072	61.0344953000616	60.799197625074	59.056251884425	58.7184689998872	58.4945004722138	58.111226703845	57.9836430756295	57.8482161915811	57.5907831056872	56.2605669164239	56.1357720013934	55.9215639698676	55.7460493337843	55.3136244955292	55.4504457361702	55.3904884026919	55.3190276273252	55.3507492398051
717.00716361984	149.142360024051	148.440672975003	147.469375632657	146.988278823579	147.399346985047	147.438563027709	147.12623525937	147.452568757231	145.346107037133	145.499469775398	144.449740347729	144.940641167473	144.283072166418	143.995954711219	143.561777096039	143.206031566182	142.896504943748	142.390898108006	142.12829067947	142.301261439066	143.173118101806	142.75784822148	142.634597801688	142.337676335823	140.231214615725	139.491712096967	139.248012403285	140.472113163502	139.096750524449	139.2094966471	139.372663396031	138.988206120654	137.631751216455	138.732601556878	138.582039964518	137.843237732236	138.184977532571	137.776010230531	132.105321513865	131.86232210666	131.46946139357	130.919386366596	131.565750784033	131.537389181751	130.668683808154	128.595835838908	128.528258193965	128.486591148637	128.273704059904	128.375245598938	127.654650815035	127.527198676385	127.308709295843	127.542955122097	122.229181341478	121.888842114095	121.835620341912	122.375191071744	122.053759579216	121.29780032827	119.218999923978	119.450794747566	119.141618268369	119.046729450858	118.690983921001	119.655978685062	119.245960953308	119.230904794071	117.604489453338	115.5445967839	115.567706237611	116.025693592978	115.33836241669	115.424147510012	115.230518299371	111.911160402674	108.624365827116	109.406235677677	108.48010681304	108.469952659136	108.194740074031	108.034724614243	107.802929790655	107.53997221888	107.149212365219	107.446133831084	107.413570509945	107.35894816481	103.566896896748	102.60855485421	103.535384005323	103.677892303209	103.5682974697	102.944692362736	102.835097529227	102.090693005137	102.226898724737	101.927876399444	59.6544985667916	59.7350315115427	59.149241874288	59.1984369992338	57.5345563320288	57.4106056257598	56.0700822388923	56.0053057398534	55.7945195105483	55.5818074934341	55.4811413124952	55.0446877662681	54.7145026927887	54.8974525346689	53.2372483714634	53.0486962377744	52.7535254880998	52.6089163307859	52.2978140637801	52.0898289803795	50.5281901386845	50.2204142324402	50.008052358564	49.7050033860333	49.5863048283349	49.4817870717775	49.2515678927609	48.082439620918	47.9413318959845	47.7576817676282	47.6097462495529	47.2541757913149	47.3159760728305	47.2904156164529	47.2343926983652	47.2441967090306
720.333328125	135.967030814515	135.452710004683	134.46552320439	134.17252897256	134.382613565647	134.472549444962	134.19712081456	134.284246197646	132.448992160377	132.577572362835	131.676105697514	131.763933704658	131.572117337056	131.170216376368	130.88635625728	130.542070469278	130.117685538761	129.875982863102	129.511320977442	129.684869119558	130.509047138592	129.991213208474	130.057259869846	129.607580473272	127.835562601145	127.030355431654	126.811136725824	127.963440179546	126.697311628566	126.304544780621	126.910909341939	126.588404899708	125.3538944313	126.458419449136	126.20617741262	125.781089858046	125.858378504332	125.599812851301	120.264984941921	120.065439709691	119.664943997117	119.138327266285	119.793172887546	119.846923627918	119.000612951084	117.003052756613	116.909955069041	116.963003185356	116.717787389411	116.914522125412	116.254758135751	116.038349926149	115.882367385462	116.028864501378	111.260155025517	110.931326966772	110.890574771457	111.394004908403	111.09679493223	110.369930345111	108.511841025984	108.719115122842	108.446848300698	108.338995507926	108.038975035524	108.962925670673	108.513597586127	108.511138401927	107.024737209031	105.185618739447	105.18983448379	105.611408918079	104.921783405988	105.026825702532	104.838873767245	101.685496998766	98.8240605260325	99.380890091322	98.5844657225451	98.5869249067452	98.3613825844008	98.1502440552279	97.8354684776258	97.786636105654	97.3882482652513	97.572335768224	97.5965762981956	97.5038299226521	94.0469195614858	93.3383231998524	94.129126576172	94.126667391972	94.0167067270284	93.4416089362531	93.4265025190244	92.7428493114198	92.9237750061353	92.522576669504	53.6022205501962	53.6861841250254	53.1363808003074	53.1762547155505	51.7123374924834	51.5690021848253	50.2904020568309	50.2475419893449	50.0518611894293	49.8384391320707	49.7658931981702	49.3469536040959	49.0599316767511	49.2181977456236	47.6852477089418	47.5150370310978	47.2410136488102	47.1054072057807	46.7837810436214	46.6351760555347	45.1568550392961	44.8891552735228	44.7203498437931	44.4036420500338	44.3541070540049	44.2271077556755	44.0087673299169	42.9463997555097	42.8269536657946	42.6521759315791	42.510070216021	42.1754455088044	42.2406138901049	42.2244535367905	42.15559637919	42.1622713077329
723.65878259616	133.43803057636	132.822183105327	131.960980876999	131.617203007895	131.764134653381	131.955356699181	131.641808785847	131.842873142828	130.069851085812	130.23646735366	129.207945835257	129.359095614106	129.12920734581	128.689115431578	128.341822451338	127.972032759827	127.648642535312	127.305567688435	126.966007952694	127.152308842904	128.040225915866	127.635988135222	127.512256223234	126.872505996476	125.238682340447	124.622834869414	124.416146334615	125.556448387145	124.340219934077	124.212972910953	124.604556291507	124.142670688232	123.071967836196	124.025265976288	123.82349859708	123.461442150069	123.386921793985	123.22944481509	117.979472237826	117.824104325613	117.423381656106	116.902793696859	117.513720012302	117.561174012638	116.765001340326	114.810599548691	114.723776303631	114.802163281965	114.53149972449	114.690382747839	114.10617127703	113.908622031185	113.701933496386	113.886476831028	109.153028175245	108.855649773136	108.783238483734	109.318589909752	108.957939507195	108.306589413688	106.510719134288	106.737092291449	106.420380778092	106.280830865992	106.094529975782	106.905114603751	106.550439890125	106.541652112285	105.035426990495	103.163630310557	103.15519404383	103.589661780244	102.874336664061	103.042710487477	102.82934324152	99.8133778868027	96.9186838662787	97.482156181385	96.6726260867564	96.6750866645516	96.4494165296182	96.3204119509258	96.0434211934063	95.8743443477631	95.5200211452508	95.7295217689585	95.6841768353036	95.6166867014918	92.1578173436344	91.5247458280347	92.309670144711	92.2692463666467	92.1845321882682	91.678707695793	91.6066479175042	90.9922064909255	91.1922163145659	90.7654818226513	52.578819192991	52.7007935494114	52.1633330567118	52.2095567681507	50.7448099577653	50.5128126227871	49.3189051254332	49.2538755694166	49.077065479274	48.8919948779618	48.7940990328233	48.3717584298288	48.0940646500821	48.2397660066707	46.7597284628437	46.5482945280112	46.3025882596025	46.1637413697291	45.8767325454719	45.6964073441934	44.2741933785541	44.0031783099658	43.831113619857	43.5585167512576	43.4646632839254	43.3281012162905	43.1254550592982	42.0909578519634	41.9429716731364	41.7807492942084	41.6607082489128	41.3448755133402	41.3847720247342	41.3559481134187	41.3218515353992	41.3063850464006
726.98351571228	137.02034634629	136.354611454755	135.418509545032	135.100389391165	135.310362737757	135.349688849494	135.112327675085	135.212047458417	133.5294516777	133.657963792838	132.643209659643	132.794193838631	132.564557436171	132.20079090261	131.778035201445	131.484493867413	131.148817413664	130.793477904047	130.530133405813	130.564543753583	131.552612310957	131.123536341834	131.050502134324	130.575779785507	128.754138109723	127.961997859035	127.818738451996	129.033634403849	127.654411485098	127.742192984509	127.969020378988	127.570843497658	126.425470493339	127.504129558106	127.201458948135	126.915642386052	126.815922602721	126.342604757895	121.162557945173	121.001039986256	120.594436080983	120.143941426004	120.684675462378	120.807920687552	119.99997976697	117.952915200697	117.923069490897	117.938167908796	117.680441426524	117.896032789079	117.236618165501	117.07720696257	116.864424607996	117.105648168379	112.244659856976	112.149855837612	111.900556379284	112.372118594122	112.011863320538	111.329625507113	109.529402517185	109.774488463541	109.458123939663	109.261844506979	109.088388264142	109.961287494289	109.625962166537	109.623504284554	107.967242953661	106.065895676411	106.070109188383	106.504100921472	105.82748112401	105.951428601179	105.738295120608	102.643470577362	99.7456277187945	100.314802960978	99.4871989845275	99.4643757946805	99.2199921003194	99.0911288591835	98.8334023769118	98.670831040002	98.3105757664179	98.5008860571417	98.4429502675302	98.413455683728	94.9394150630247	94.2564749976045	94.9583758668976	95.0001598606174	94.8712966194815	94.3723465768275	94.3130062832254	93.7940420587056	93.9053489999591	93.4917225747329	54.6521534234603	54.7487130728127	54.2055211544554	54.2485340891669	52.7695913870847	52.5125671568083	51.3073271698905	51.2486891282838	51.0404714116801	50.8145218321953	50.7546548495968	50.3169762935318	49.9985050136675	50.1914487493736	48.6529901906904	48.4354676351491	48.1615893569858	48.0450155257675	47.7298799428808	47.5307915022159	46.1006553138063	45.8299371696217	45.6391001899015	45.3478411748547	45.2572506674621	45.1176780833981	44.9310546156496	43.853448928876	43.7245856877401	43.543580235954	43.4236707077581	43.070262391128	43.1543570675641	43.1097640658631	43.0725447101127	43.0665755681527
730.30751615232	151.366558746686	150.588018077488	149.501568080563	149.575213819541	149.355679378587	149.508581960466	149.246262852106	149.560484671746	147.602209402917	147.945188130158	146.717057759199	146.918356112406	146.638502304289	146.174183454732	145.789822836065	145.547142591432	145.035129358536	144.541352213388	144.391956571461	144.577824388882	145.564677291189	145.098254277661	144.974809991373	144.702671451149	142.416146602876	141.675480885153	141.456647832189	142.821548861251	141.317773010116	141.38019654125	141.783494635654	141.120682984851	140.027219108023	141.256050866972	141.054752513766	140.554662876704	140.303565976188	140.285329888441	134.249401601923	134.069144888425	133.650416258235	133.124725959529	133.734232123072	133.775263320502	132.8673165671	130.778583132082	130.755086634408	130.713354048987	130.500132099946	130.778583132082	130.075792365834	129.802952437619	129.558869417006	129.812421175488	124.540789040634	124.162039525889	124.115046530541	124.724903388079	124.314591413772	123.513255634891	121.494310304905	121.789594648807	121.429431915805	121.296518891649	121.047526155104	122.070851232905	121.729625975639	121.695608658111	119.833072849955	117.71312764937	117.79308588026	118.26441860972	117.475006426674	117.605113898868	117.392242643822	114.01085114274	110.782011529541	111.539861253026	110.523900749122	110.564230558563	110.307522554125	110.134630414524	109.877221022095	109.759037145735	109.190912873618	109.488301381492	109.461999331857	109.47041598774	105.539837690278	104.649425636633	105.602962609402	105.745695065422	105.59805289347	105.017654331523	105.065699408857	104.395873878151	104.658543680506	104.169676251289	62.162956505012	62.338303502579	61.6695300538585	61.7566775116493	60.0649296791228	59.7735029691664	58.5160896496135	58.410180063083	58.2085310158809	57.9828594300122	57.9072848740608	57.4259573657394	57.0510654849411	57.2563968190921	55.5651750275584	55.3731700652225	55.0585975515873	54.9200734235093	54.5737631033145	54.3875445918984	52.8139806357321	52.4836268923158	52.2930247059605	51.8884991825734	51.8674575428654	51.7249004338434	51.4943191320428	50.34860184994	50.1946471860762	49.9980832018036	49.8593837267281	49.4622227772388	49.5619952188544	49.5363945572096	49.4992209937254	49.4774779660271
733.63077259524	172.374267603969	171.445223402298	170.183376790525	169.891211306289	169.974587067978	170.240828996058	169.814841911129	170.217007349862	168.286052734623	168.616052598113	167.124397164207	167.413760101832	167.27293213461	166.695607532666	166.223378428649	165.854843549253	165.330767332926	164.951022267084	164.562168924756	164.785672017013	165.973251143584	165.519939229194	165.371404258791	164.935608260722	162.563252554191	161.583762513515	161.402998257081	163.119558056549	161.251660740067	161.377074700926	161.779940776311	161.332233955144	159.748094483063	161.22783909387	161.102425133011	160.565036820279	160.528603714331	160.295992345587	153.23350922827	153.141725826748	152.647776986492	151.920866459166	152.737808796383	152.816630419828	151.644815617946	149.400676418886	149.497013958652	149.404880238803	149.362141402979	149.476345177393	148.69233276286	148.350422076272	148.112906250958	148.441855159468	142.463322600748	141.990392860078	141.974978853716	142.678768371498	142.180615711326	141.20988362881	138.978706207827	139.242145589297	138.901285857688	138.718069372969	138.406286062454	139.724884243106	139.346190132244	139.337432174084	137.003961801786	134.779090110679	134.840045499476	135.481128036829	134.465555208531	134.652274876514	134.458548842003	130.582626878468	127.016736633817	127.906194864603	126.714762236441	126.830717602487	126.479698639412	126.351131813615	125.980495024261	125.887660667759	125.206641841194	125.655049299014	125.553106666026	125.536291386357	121.10546519377	120.178172583731	121.237885521158	121.481356758021	121.346484202349	120.684732883737	120.663363465825	119.956421083106	120.319701187605	119.761994411941	73.1661209862105	73.4074903131154	72.6543059113078	72.7697357998639	70.72667932017	70.4166476012864	69.0533838340147	68.982269213751	68.7146260123645	68.4671261147473	68.3695624608387	67.7878588798148	67.3849928044293	67.6437028884921	65.724133618862	65.4944999558923	65.1708058222783	64.9882899742123	64.5855990579901	64.3869685669088	62.6511412594871	62.2864598816817	62.0550746270798	61.6352181128629	61.560600309335	61.408737314831	61.1657915554573	59.851046876395	59.7004099960335	59.4346935454423	59.2898369174668	58.8773370881047	58.9643911922206	58.9293593595784	58.8985313468532	58.9335631794955
736.95327372	192.825169193548	191.743111267293	190.4540448532	189.959329653453	190.143882983288	190.764206723112	190.021783061648	190.475096563828	188.591670186351	188.884288964074	187.491367444219	187.642238037049	187.37488131208	186.771398940757	186.273175122572	185.916699489279	185.278130933578	184.796748483895	184.31887465265	184.643772720001	186.123707977117	185.59390659299	185.41987911847	184.869727747403	182.127391576324	181.196905966587	180.902182017801	183.000335843678	180.839026885919	180.939373373243	181.481805783746	181.033404347379	179.206817588597	180.752013148658	180.727452819593	180.189230751215	180.190634198591	179.869244749677	171.918404421567	171.757007973422	171.287554826428	170.433206236794	171.346148754342	171.437723695572	170.194620183016	167.808057921541	167.822443257137	167.812268263667	167.561051183511	167.928052672118	166.947042956875	166.718281034723	166.423557085937	166.784593923199	160.158918865027	159.584207164896	159.587715783334	160.418907491277	159.825249251581	158.688807739538	156.151024023389	156.522235854121	156.14926971417	155.972084483055	155.577715770632	157.119402712255	156.607495282163	156.693456433892	154.154269270367	151.565961448712	151.740690646921	152.344874741931	151.195100479824	151.527366645895	151.270184914395	147.059842788889	143.021072104997	144.07611366928	142.731260222025	142.815817926378	142.49583192484	142.303910496286	141.926383152365	141.864982329702	141.050281128416	141.594116986294	141.473069650186	141.449912768495	136.456447007645	135.376143390608	136.645912403292	137.009756135305	136.950460483704	136.129794631074	136.203124756427	135.286673620441	135.858929287667	135.186677994961	84.3315542962975	84.6017179160175	83.7400012276639	83.871398988164	81.5567634046669	81.1830955410282	79.7577193006223	79.6549167803912	79.3963316015163	79.0663460374298	79.0381016590045	78.3418163299989	77.868854564567	78.1974366812784	76.0854238125712	75.8049097684593	75.4522936154481	75.2631790816441	74.8030237735107	74.5725075421392	72.691888059413	72.2729590179251	72.0064794475649	71.538605178868	71.4449250665755	71.280195430915	71.0147684460862	69.5558848995982	69.4208030897382	69.1452011114394	68.9811731994666	68.463827410795	68.5889096581069	68.5475079605394	68.5197898748798	68.5454027894767
740.27500820556	210.346171630857	209.24781535884	207.751656975484	207.166571038275	207.427782690146	207.847411112019	207.330620404544	207.848819261085	205.895716505589	206.303375660395	204.677667562903	204.765676879571	204.68752460637	203.993307116493	203.455394173018	203.085050968479	202.355629751934	201.897981305261	201.431179889654	201.64310632419	203.368793005417	202.875236757542	202.700626273273	202.161305180731	199.20700843882	197.969245409201	197.762247496397	200.019510450299	197.660860763596	197.812236788265	198.521239843342	197.931929458933	195.921796666236	197.839695695065	197.815053086398	197.376414652125	197.175049335588	196.827236516116	188.042997303169	187.8620501481	187.353004260492	186.521140199346	187.462487850427	187.63040962663	186.167694783607	183.684423904503	183.717867444836	183.663301668502	183.436589668765	183.880860699306	182.820524452089	182.565649471019	182.238254813014	182.62584784362	175.458369094176	174.824702014167	174.916935778035	175.725565379581	175.03486826237	173.805906164418	171.063183819776	171.479995943515	171.017066937842	170.864634801373	170.481618255233	172.142530079392	171.565540999317	171.715156837652	168.799936232341	166.1459272789	166.283221812902	167.054183426914	165.748477204828	166.132549862767	165.849159863096	161.314215793826	156.97042796036	158.168410778845	156.603605128487	156.783496171757	156.418081488951	156.238190445682	155.859398346743	155.702741763074	154.81560785106	155.468989018003	155.315852807001	155.2545983226	149.965590428119	148.678894218433	150.168363893722	150.603129918062	150.473932241193	149.650517074447	149.641716142781	148.734868143833	149.328050938176	148.653547535232	94.2939623718592	94.6569127937981	93.69409086945	93.8766221922194	91.2690821579795	90.8212907547726	89.3816343527172	89.2974974459826	89.0063626264448	88.6467565585392	88.5867342045717	87.8437595532603	87.2773315911849	87.6830545410245	85.3992127734895	85.1019173017849	84.7005948177787	84.5076783956424	84.0333081788018	83.7544946635976	81.7408414982334	81.3014989894266	81.0056116667888	80.4886449406808	80.4168293382797	80.242042835377	79.931369947539	78.4010639493155	78.218004570646	77.8907859312743	77.713535167505	77.1437628513962	77.3009474909653	77.2720804350982	77.304467863632	77.2826415530983
743.59596473088	224.393796340107	223.277287780782	222.00299632619	221.032949916282	221.16809131985	221.76809084983	221.134129082304	221.85865681662	219.883186666026	220.369271190903	218.5572443085	218.620215957283	218.43979157032	217.767622285555	217.278000027599	216.740264599787	216.045453823325	215.547341005983	215.078237599879	215.405831682875	217.152764276648	216.554887386515	216.44309502126	215.761020083877	212.703003611503	211.089797328067	211.200174600092	213.736021670195	211.161967082852	211.50512719139	212.179419116002	211.485315886155	209.439798620623	211.570929026636	211.342391469816	210.710552342137	210.737439113527	210.298760211891	200.968855016656	200.761543858302	200.186308459867	199.261191260045	200.360011153982	200.554232699948	199.020625410761	196.302231313848	196.386783134405	196.389259547559	196.078646583336	196.671570647161	195.516854570596	195.197043500371	194.797987209205	195.308482092319	187.717214454166	187.054950822019	187.166743187274	187.985728394764	187.278889325838	185.916508317611	183.00106248827	183.528184716849	183.012029460811	182.833373940386	182.372053547053	184.340448231491	183.741510021435	183.847288240458	180.618399260431	177.836679741427	178.025594687777	178.832197829495	177.462741355113	177.810500516652	177.589392199295	172.739160149753	168.227489155748	169.431379722093	167.782442334572	168.058739287941	167.640579238156	167.478904836505	167.021829722864	166.934447715845	165.845533474525	166.610391365927	166.411924540267	166.490462214592	160.812400624866	159.334689518306	161.003438211062	161.586810395577	161.488815189324	160.54671687073	160.627023411594	159.556505382279	160.209924681732	159.512991265423	102.491357984221	102.862466184073	101.929919744788	102.119719124407	99.2541553314611	98.7468444081174	97.3510318223065	97.3046875189885	96.9197821601335	96.5520348067054	96.51718813589	95.6845826560507	95.1026255647672	95.5421888996728	93.1451978528697	92.7859410588282	92.3539838500397	92.1728519164608	91.6451990279202	91.3777464072453	89.2936678511657	88.7789276883587	88.4752133036373	87.9111217643962	87.8516878486907	87.6569356427627	87.3001552618755	85.7081753769056	85.5465009752542	85.1921970075214	85.0013363079789	84.3809948128023	84.5548743935718	84.5386008214143	84.5520442071096	84.6097092562763
