"","wavelength","nadir","nadir","nadir","nadir","nadir","nadir","nadir","nadir","nadir","45","45","45","45","45","45","45","45","70","70","70","70","70","70","70","70","-70","-70","-70","-70","-70","-70","-70","-70","-70","-45","-45","-45","-45","-45","-45","-45","-45","-45","-45"
"1",319,7.05734941645878,7.11692098312042,6.9722926930823,6.92311488987079,6.75743517222276,6.71166797573911,6.62010450183438,6.71122569903569,6.78777815481089,6.47765550126762,6.48118783742989,6.57455944889716,6.68848285315953,6.66426185732339,6.50360474893534,6.47884079603868,6.47693232518244,6.26914709087466,6.25955147954842,6.16200094555828,6.24476946460954,6.17197864231938,5.96063944578886,6.16067060756229,6.21490195623604,5.85543963366104,5.73543742146428,5.70113518565699,5.73001208637531,5.77621241934121,5.6875881097753,5.74172982520236,5.66343001575906,5.75892318588909,5.58641581826534,5.48786889337302,5.50406446305965,5.40415625341104,5.48892050368697,5.50692038972302,5.45942383915506,5.45996889059048,5.35938388069782,5.41558361225489
"2",320,7.7534851590929,7.8489950590912,7.67989170187946,7.52545163317318,7.47485120281196,7.38935986209125,7.18532471067064,7.36053859084651,7.5239730514238,7.15073805341157,7.12507015795833,7.26515880282851,7.42653628861683,7.29224791163945,7.15552803218535,7.10639401358933,7.06556917764404,6.86697604153413,6.86199479179266,6.80053218356118,6.88141770228613,6.84611565514584,6.59333478072239,6.78250496327899,6.81374353344343,6.45194067106586,6.37916821836013,6.37809631814204,6.30222889834563,6.38074414035931,6.26498194475918,6.34564272702573,6.26237833766975,6.34943073973018,6.1426839640748,6.04684820686572,6.06568695166376,5.92984648527971,6.00351409716869,6.02263121253828,5.98009457343406,6.02142435371783,5.93147471769852,6.02612368884526
"3",321,8.48044422282524,8.58888005204155,8.41549558413459,8.20411932989574,8.20583114147301,8.0779774592979,7.81525588327544,8.04722121073028,8.26290311145458,7.8292501894547,7.79868621866934,7.96203878010459,8.14862151218486,7.96119023625608,7.83399046328196,7.75591376886684,7.69439718092825,7.52201665379933,7.48690131239032,7.45709172013567,7.53228486066163,7.51756333710158,7.2410269621771,7.43268196129463,7.44759072130049,7.06468745349455,7.0227285083958,7.04046500857219,6.90240485360547,6.99708423919567,6.87213949661332,6.95055427853376,6.87432405184595,6.94445906333861,6.71053259487558,6.6312769052722,6.64221881040849,6.50215514924834,6.55651023858081,6.56744455432348,6.53432999322186,6.5918340232931,6.52681427687721,6.61954785631187
"4",322,9.22734834248188,9.33164352287877,9.16895430230294,8.93882392108436,8.94325116298891,8.77234736006118,8.49353126810206,8.75975973321139,8.99989025016589,8.50902961104014,8.49252471372936,8.66055922249036,8.85459672019156,8.65895592157978,8.53029109643278,8.42030328186137,8.35267899961664,8.21753294176187,8.1266681618929,8.12389133846403,8.19105905720972,8.1832605658294,7.8965927653244,8.10137249056637,8.10560608971168,7.68729678220987,7.66206726255863,7.68724334493536,7.52111981151819,7.61910110516506,7.49889785839055,7.55268648422254,7.49317322036885,7.54096534233739,7.28560147340938,7.23253962679494,7.22747322383007,7.10731307347627,7.13720436560095,7.13302625916332,7.11289585586875,7.16640652819271,7.13596412281563,7.19641371516163
"5",323,9.98329135678957,10.0724846191293,9.93013943055976,9.70902844733808,9.68006167674672,9.4674932487619,9.20367028209331,9.48666898192051,9.7303393466115,9.18604435120974,9.1971426488846,9.35625227618865,9.54460782031004,9.37329616953116,9.23575288533767,9.09257560193102,9.02976764124517,8.93660851467652,8.77379869382701,8.79318302947835,8.85145430083617,8.84039139113536,8.55295264549715,8.77878079937325,8.77701295181433,8.31349596803335,8.29322344657174,8.31764371282677,8.14893595208823,8.24074634849983,8.13504022073105,8.14871549819064,8.11292514878618,8.13612286386524,7.86365839341039,7.84204720761906,7.81532880293409,7.73136300039943,7.73492728503736,7.7110869884054,7.70637883881149,7.74045470065169,7.74942249600974,7.75747652816517
"6",324,10.7369942918394,10.8083610551289,10.6892113692066,10.4909497478822,10.4102051877708,10.1610728077274,9.92767106048876,10.2168466565566,10.4507640352068,9.85800423463566,9.90400996827575,10.0469528205182,10.2226457891543,10.0904134102321,9.94201818436258,9.76721157419015,9.71622348627357,9.65991599228855,9.42221599410067,9.45775613368873,9.50753062205174,9.48941642416344,9.20361081405596,9.45555696093196,9.45184641326624,8.93848920783616,8.91343874537332,8.93368898415638,8.77617918255892,8.85708377111598,8.76962940472333,8.74138687902872,8.72882527896655,8.72999296671403,8.44218219685886,8.45156060237705,8.40053853955746,8.35783403305332,8.3394824883799,8.29393635602324,8.30297233668724,8.31068398082439,8.35684135306846,8.30613318152547
"7",325,11.4769124062595,11.537484177184,11.436536414428,11.2584905378474,11.1283314376841,10.8526214210699,10.6464472603212,10.9394633982147,11.1584683503461,10.5238607594156,10.6052474237084,10.7321372873616,10.8954426429896,10.7954059986953,10.6409570394712,10.4397383933583,10.4034676167793,10.3664092688935,10.0668552352221,10.1107830527474,10.1535947202706,10.1331320429022,9.84248762533404,10.1226688643034,10.12072028339,9.55853352830468,9.52081222802365,9.53940554612789,9.39300697808127,9.46397002456406,9.39121470061025,9.3377728901614,9.33700738771333,9.32469579908014,9.01987148308146,9.05309035512656,8.97847874661821,8.96846337285298,8.94101043050583,8.87431095218302,8.88916364129041,8.87479255921228,8.94726935902743,8.84766369922108
"8",326,12.1915104076292,12.2580207606549,12.1624735420987,11.9856358074679,11.8290650234063,11.541607714118,11.3409510955692,11.6436801439806,11.8507282249747,11.1825212778689,11.2929526285279,11.4112237457382,11.5696329446552,11.4734115436165,11.3244314014045,11.1056460528128,11.0828905139249,11.0351033454124,10.7026156065254,10.7454225691602,10.7839445249756,10.7742515807622,10.4634886383447,10.7710730990976,10.7742277965941,10.1698485243893,10.1134124806164,10.1387485540569,9.98958280214888,10.057233571852,9.98836365642979,9.94479196571353,9.93357366845494,9.92227831137529,9.59538148481859,9.63863813615919,9.54450357581719,9.54505192950463,9.52963958608023,9.44493218657266,9.45150070226375,9.43044333061337,9.5097766280213,9.3872811531789
"9",327,12.8704235108588,12.9626162676604,12.8564749103899,12.6565625365773,12.503915692452,12.2192304371732,11.9969110973624,12.3174557277872,12.5213384700086,11.8274244975396,11.9563568740158,12.0764004507203,12.2397790229724,12.1144302805733,11.9833004093426,11.7558161568141,11.7420919105906,11.6525829256825,11.3199388111945,11.3531463669813,11.3917915732194,11.405201061393,11.0586866128758,11.3903265133177,11.4004134295324,10.7640168614343,10.6855319520558,10.7268491736197,10.5568119359206,10.6292109650532,10.5519055403453,10.5503066340497,10.5107138621995,10.51571993508,10.1619953140085,10.1991063606179,10.0912219146795,10.0772926020509,10.0940143575236,9.99664095740501,9.98404557900252,9.97092686543933,10.0360903233266,9.92190479881616
"10",328,13.5052694650432,13.6345644954848,13.5064567647541,13.272710277617,13.1391174497061,12.8626813287817,12.6081456325603,12.9467129343003,13.1581977834214,12.4427466677863,12.5798366493303,12.7076102378775,12.8799959904212,12.7166984670505,12.606724701185,12.3733249001923,12.3622510005831,12.2182538163232,11.9017167332563,11.9225686254343,11.9685073365778,12.0009824883394,11.6170500247677,11.9676151576963,11.9830047278633,11.3247674552073,11.2250672995541,11.2838930330826,11.0868561062356,11.166324369707,11.0765003846223,11.1099036883997,11.053991035808,11.082642089149,10.7038971108424,10.7235355920775,10.6065928891009,10.5682452614704,10.6202655158769,10.5170930668366,10.4935872733626,10.4821281567657,10.5224379565854,10.4344063291675
