"wavelength","nadir","45","70","-70","-45"
319,31.3604646221894,31.5497287292765,30.9053539093325,31.5055004196507,30.928105700272
320,34.5321827271453,34.6921566349661,34.0195900655072,34.6649433844282,33.885755095918
321,37.7166900348495,37.9049117442117,37.159014835653,37.8712331298456,37.012336344796
322,40.9197675879149,41.0782539401795,40.3060070554368,41.1050845101728,40.143593775901
323,44.101495504079,44.3404901781377,43.4447138911643,44.3370258756795,43.3221106837139
324,47.261367645814,47.5241547414024,46.5706598564501,47.5232136453701,46.5400295171381
325,50.340941713248,50.6987324394067,49.648043618051,50.6533560335988,49.6648428853519
326,53.368156437752,53.7603592075255,52.6131778070503,53.7346673928977,52.7212587620035
327,56.3301781053259,56.7323941101994,55.5820860492271,56.6562358263791,55.5984837943952
328,59.0682533963422,59.5358890926365,58.301481118534,59.4920228286249,58.3352897840848
329,61.5966437682405,62.1179908594219,60.7900302789987,62.0710058375417,60.8369025303123
330,63.8622774883783,64.3418187032576,62.9899427062701,64.3200748812995,63.0461828039178
331,65.8448222705758,66.2124669857932,64.8789955555533,66.2346695182577,64.8844049350587
332,67.3261497254146,67.6470488662703,66.2742668638816,67.7053276328807,66.3080899974523
333,68.2745142868886,68.6004855909059,67.254654820014,68.7193839135696,67.3091792097047
334,68.9076761865516,69.2618291752073,67.9114874390892,69.3979684875673,67.9945598582916
335,69.4068240022433,69.8341453401581,68.4861882701678,69.96419227283,68.542369019887
336,70.1874009148419,70.6302422578842,69.2594046902683,70.7530025649861,69.3079024622024
337,71.3184309144403,71.7837907792106,70.375953649883,71.858462955797,70.4326336871992
338,72.7046568270432,73.1849214545449,71.7618789723578,73.2269382085237,71.6767882359777
339,74.2335047190389,74.7338901633309,73.2800386234414,74.7736758933378,73.1710908823002
340,75.7914065536663,76.3128815494517,74.8201209395275,76.3698932624151,74.7422311374171
341,77.2605413478379,77.825216923965,76.2707910227461,77.8854229272648,76.3455755796347
342,78.5219510075142,79.0935023362302,77.5225962624868,79.1786457214663,77.6494738992444
343,79.4750191702131,80.0298195523378,78.4105849049333,80.1522873757948,78.6208584868364
344,80.2353965101176,80.8662716495563,79.095767992427,80.9005307959754,79.4143983927272
345,81.0467767110197,81.7198772725941,79.9290329442883,81.7577657377296,80.2882480115987
346,82.2950590993701,82.9748867472646,81.1842014970869,83.0514958408925,81.5373142683812
347,84.0769206463252,84.7460583505957,82.9494455715343,84.8459315575934,83.232209659531
348,86.1210250607925,86.7754606433256,84.9601963121501,86.9069563278346,85.1313451904985
349,88.1218605103451,88.7551180196359,86.9512983151685,88.9265548683508,87.0766044211369
350,89.8214144498926,90.4521531292653,88.6279817809011,90.5897861027526,88.7390967062953
351,91.1645484131561,91.7809585392448,89.9697908473318,91.9640744074485,90.0942075244628
352,92.1502769095734,92.7580350907053,90.9291052784892,92.9729646810299,91.1365767849558
353,92.7825207778019,93.4029976957618,91.5627434767144,93.5953143647154,91.8223756502712
354,93.1272728284452,93.7748555289763,91.8761458943072,93.9254379648845,92.0474159741018
355,93.293104230384,93.9757935968434,92.0091983264109,94.0872802767914,92.1459589060391
356,93.3902741448213,94.0801669425423,92.148313894879,94.2172837538391,92.2794400923023
357,93.5909013748891,94.2603757785589,92.4225521401755,94.4231972182783,92.502089632191
358,94.1695920797424,94.8196927579572,93.0536023152244,95.0368449611183,93.2571440302091
359,95.4105884078172,96.07350447777,94.3125304475719,96.3353104414851,94.581672211093
360,97.5142555954816,98.2414183511781,96.3742731090866,98.4983327657519,96.7000790736625
361,100.316774524326,101.127179077632,99.1167580139628,101.323909723949,99.4733723845723
362,103.555508469306,104.421691369031,102.296197719892,104.595365545204,102.677519439924
363,106.969227145244,107.857309843457,105.630781631765,108.029654866225,106.062215178646
364,110.309501447682,111.170250784152,108.896462926591,111.400483958111,109.380917795649
365,113.303246288568,114.168451804921,111.91378611887,114.490740084195,112.401153480835
366,115.808815429296,116.666743716134,114.460028592348,117.071001968632,114.947344655375
367,117.675259121582,118.52122726096,116.305232893292,118.971382037888,116.796521327449
368,118.806267124833,119.679240946659,117.430845808972,120.115912025587,117.905073156878
369,119.119188996644,120.07380596682,117.773148690312,120.447894655264,118.232785308922
370,118.699949725599,119.695020732363,117.364385943567,120.021569015059,117.820875688464
371,117.978807392346,118.974478793101,116.580146308569,119.288454748846,117.098772301129
372,117.493703849559,118.464186633285,116.04512988338,118.766460152592,116.604823849225
373,117.743581848647,118.695824199573,116.260072304998,118.992365156961,116.838814373407
374,118.694194216698,119.64647623819,117.175980355725,119.938582718418,117.773275884096
375,119.925199125212,120.888922826897,118.397055733664,121.180900828791,118.998945497
376,121.008820149768,121.99300869465,119.506492491365,122.287415194638,120.099126606156
377,121.621903316849,122.630185520204,120.155063399851,122.928855459543,120.75335723881
378,121.62631669697,122.651594192203,120.195503428155,122.960275173869,120.804553587026
379,120.902852232675,121.926754034309,119.499355886421,122.27497588677,120.095846347155
380,119.418771841414,120.415147220015,118.043361969172,120.781381537383,118.598155913985
381,117.549534582077,118.500941811506,116.159540354041,118.869749295166,116.701850950107
382,115.790936810061,116.69350408164,114.40099308631,117.067733644756,114.925886795812
383,114.623455789772,115.48650305845,113.240005769564,115.880327881792,113.756528953727
384,114.302452153586,115.151877203478,112.943741595493,115.553222403342,113.294798642419
385,114.912194120908,115.767570667363,113.54606143468,116.172479417669,113.784114508846
386,116.530447419041,117.427602595776,115.156231723556,117.819381331223,115.373673472516
387,119.000110492959,119.960775706518,117.599357489471,120.346389757796,117.882221955291
388,121.725439421367,122.749371559244,120.285664885412,123.125772138807,120.708105053658
389,124.062653102087,125.125917180093,122.621225590833,125.493346930708,123.135605538
390,125.522073104465,126.583269220266,124.10025628865,126.946075956563,124.629648385251
391,126.390827953433,127.422480364861,125.014028557348,127.815152050871,125.492118977721
392,127.200264386389,128.231618938563,125.801521951152,128.647112204732,126.288032388619
393,128.482624455872,129.545853699955,127.040854921461,129.970860694284,127.581236885596
394,130.78314713799,131.912439209578,129.311968232062,132.341910033839,129.915234507563
395,134.657574283333,135.859102830197,133.163383356296,136.314151917157,133.817085411205
396,140.658386003378,141.919437621835,139.124417845136,142.424264950932,139.80993539154
397,148.857737225741,150.157184163931,147.240652124291,150.711568074763,147.921614332403
398,158.367160657148,159.705263660782,156.636454075773,160.299913719936,157.331528172852
399,168.183844187289,169.601820780597,166.324552566917,170.218025993541,167.078943215665
400,177.375670399752,178.857690898578,175.3874008915,179.509935488439,176.206619281462
401,185.396810361584,186.918466307264,183.288439111407,187.62679220158,184.165094267584
402,191.832713973009,193.380051478322,189.620584351691,194.156808538656,190.561141748544
403,196.299857110559,197.86908485189,194.046940044202,198.684452401106,195.013969885556
404,198.974669550122,200.566772144369,196.731631668347,201.386887401799,197.695978122694
405,200.520561432473,202.136614801969,198.295472004526,202.945453951208,199.260664960736
406,201.616241928956,203.257252509755,199.380873993312,204.064807699085,200.323741947267
407,202.764945964207,204.430982239134,200.47643571314,205.237582333079,201.504381883328
408,204.08900166359,205.777308957015,201.800978741852,206.605972778823,202.879535737485
409,205.660801655256,207.36555498954,203.409013400127,208.230437257948,204.468154677101
410,207.522398919006,209.284191375775,205.28669385369,210.14821490698,206.351908132441
411,209.533493456657,211.354728498375,207.295969274719,212.21204176373,208.385589906834
412,211.485976157384,213.35802855409,209.237016268155,214.225542343328,210.353317845496
413,213.176852600671,215.085473301528,210.91493895966,215.944396593274,212.044613806049
414,214.512270429754,216.435490359103,212.239865448663,217.263976732131,213.364281717202
415,215.501685489551,217.407831389273,213.22133406646,218.230370449914,214.325399032741
416,216.15865282683,218.006319473169,213.872828164666,218.856335459863,214.948547686947
417,216.508211088398,218.26103744859,214.219024861804,219.172794669297,215.2627091142
418,216.602813717734,218.264758066522,214.309973742394,219.245113245929,215.329116221183
419,216.49891842987,218.147332538328,214.189125694465,219.136311144204,215.213410121887
420,216.238089633595,217.933662019212,213.941180801373,218.91323654229,214.964850073784
421,215.76198930047,217.533918256691,213.465148111449,218.505884102323,214.524236472899
422,214.971193658014,216.844583941777,212.682954794085,217.775380732103,213.787765067524
423,213.770111540151,215.702921700838,211.504196238508,216.597505219026,212.655177915725
424,212.161178848612,214.089510235953,209.929904133366,214.975562397519,211.11742432314
425,210.248891043912,212.129313672444,208.056307836531,213.033556034868,209.26041279038
426,208.14267366438,209.953952720936,205.984253291906,210.893388352933,207.153878629909
427,206.042876970204,207.785327955195,203.909370834712,208.761310603489,205.054487589043
428,204.391663519718,206.087874205875,202.279367804343,207.094192817973,203.370060713634
429,203.670950626893,205.364323059595,201.583393848052,206.389021841677,202.636961108605
430,204.299355263448,206.03382299953,202.245271443421,207.075884305167,203.301251558291
431,206.214569108115,208.02623587093,204.192498923541,209.076591461293,205.280925632411
432,209.13349829309,211.026457849811,207.12471969456,212.079613005087,208.239280086394
433,212.77104124554,214.711105340119,210.740084945298,215.772055405808,211.876219526585
434,216.816321527572,218.77651017046,214.727745776795,219.83681487939,215.875039588748
435,220.928650305301,222.895421836205,218.766443374067,223.951917868869,219.911314666711
436,224.765761143375,226.733013712379,222.534418911004,227.800806992462,223.695316287771
437,228.108004516238,230.080194081893,225.826673796529,231.161867604246,227.033117765519
438,231.103587858492,233.090766821901,228.788496077827,234.199243854934,230.052849313102
439,233.969413716724,235.986304415795,231.630587760356,237.120408015945,232.940795483736
440,236.906941940782,238.971390495258,234.548587122682,240.122683421981,235.864702325287
441,239.982683640392,242.10214860286,237.606495398395,243.265708032246,238.929118015698
442,243.193436082031,245.358008542697,240.800310782955,246.537992230555,242.105939041055
443,246.533965709708,248.71672320124,244.123992904752,249.926219522226,245.419559552124
444,249.942927264592,252.117708261809,247.514535003785,253.369324173924,248.81676385504
445,253.286183203295,255.453458638714,250.835029273671,256.744296579789,252.162007846169
446,256.424744726835,258.614245780099,253.943642962929,259.923998902136,255.314260004567
447,259.250023656105,261.498945058408,256.731107494525,262.80740721982,258.161666864652
448,261.757553084758,264.061407044839,259.217510391081,265.374174939607,260.682246209765
449,263.96513912417,266.296048857984,261.413542829142,267.622443365336,262.8693475604
450,265.887395268021,268.19755613512,263.321153897241,269.595109602232,264.796713484323
451,267.506308598421,269.837267992814,264.920423364271,271.268938143751,266.440359318339
452,268.784768807231,271.134926376573,266.175497010427,272.595754880059,267.709422365285
453,269.68737587661,272.045964994617,267.078891620011,273.503526410771,268.600538313151
454,270.280385041418,272.639777609032,267.669428977752,274.081015575229,269.192450144435
455,270.779334675631,273.139523253455,268.16720138127,274.563705902056,269.704391956367
456,271.411683194091,273.780638894085,268.80476755771,275.195998710314,270.359877890774
457,272.330238413258,274.721055765124,269.738377649266,276.141920472354,271.307394747116
458,273.39275391784,275.81236603979,270.822674424624,277.24781851041,272.415314858882
459,274.384096259864,276.830487175448,271.837794801939,278.281564096881,273.451654028895
460,275.100079888149,277.562876843587,272.575018682581,279.023110163685,274.196266450183
461,275.469792678357,277.9500906136,272.961274265238,279.399484847885,274.573120099588
462,275.511244980173,278.033902700511,273.013996779736,279.460028251491,274.602338312902
463,275.244690044729,277.783302952036,272.752909096377,279.201335934854,274.30647351685
464,274.737119915716,277.257714612174,272.245663707146,278.68339744842,273.758900227047
465,274.133936267464,276.61777525769,271.640320485735,278.056840546484,273.1182527829
466,273.58803443201,276.033795582775,271.09262388986,277.480413939914,272.551313858792
467,273.230769804523,275.666903527403,270.736512147448,277.110706880047,272.199280009416
468,273.094373862075,275.531752538189,270.605574123745,276.966309733354,272.082045845252
469,273.182582752237,275.621521786537,270.704551073766,277.046953636663,272.167137427407
470,273.498517442971,275.937488977747,271.037155106889,277.355963268685,272.471347689176
471,274.036224150096,276.475113933525,271.591892291714,277.888746574841,272.991083778433
472,274.782810265358,277.225407949594,272.345641708018,278.634658131972,273.722876183075
473,275.724998372229,278.179033530039,273.274849185098,279.582674663356,274.662992961374
474,276.824599850985,279.29851472973,274.339432550007,280.695016782786,275.776051291782
475,277.995247204338,280.49195515308,275.467344068349,281.8821581325,276.961006727136
476,279.145065630616,281.661237628911,276.582882037731,283.04865718324,278.089719633327
477,280.165460186526,282.691896346196,277.590759903427,284.082683145816,279.093544367738
478,280.857467385982,283.381104833229,278.289839461433,284.783825028114,279.778724546598
479,280.991732204247,283.496320343696,278.443383897985,284.921881729901,279.921792054774
480,280.351933944238,282.818520484333,277.827852996253,284.279826733415,279.311750120472
481,278.96309250345,281.439478768202,276.464118486639,282.884558194735,277.968527236034
482,277.062744890236,279.545883625845,274.588273749167,280.977766841584,276.111144209942
483,274.895703552754,277.358697281654,272.443780475876,278.808484333679,273.976946763549
484,272.709493370671,275.119561434918,270.276909769496,276.625749199393,271.811503392598
485,270.757742605559,273.105472316637,268.340254332512,274.678615422619,269.867997518864
486,269.29491340152,271.647498708868,266.887270564234,273.216139098881,268.421490535301
487,268.541286119641,270.916575832472,266.137533811684,272.454857327796,267.701982739784
488,268.498069761579,270.897535512681,266.093475448393,272.410415338623,267.688692943486
489,269.080031931291,271.505291775522,266.671845960084,273.016104198929,268.298040681274
490,270.197245231412,272.649934319317,267.784681727935,274.153406952563,269.433188639979
491,271.653099086742,274.131675168132,269.236837313004,275.624420830459,270.895943010013
492,273.142289917705,275.63877866346,270.723966235665,277.156758045141,272.384844009282
493,274.354776916062,276.854633089544,271.936964023482,278.404797689367,273.575347054078
494,275.059568809502,277.555717146203,272.646876889051,279.125222464976,274.262234778735
495,275.234519780643,277.741109460861,272.836677647968,279.298935483575,274.429110167857
496,274.891575289837,277.400023031867,272.523217441176,278.965725038802,274.091077614954
497,274.060178791147,276.558739574827,271.739640183777,278.116744309881,273.278906899652
498,272.904218724509,275.382978841856,270.63565922325,276.918768683118,272.119435397694
499,271.649907236318,274.103098884514,269.415515986766,275.631776103673,270.855271021454
500,270.521249390403,272.947233894815,268.28188197843,274.471569707586,269.713241541296
501,269.661072015139,272.077501951653,267.377938081166,273.581616344031,268.803579973605
502,269.116063546659,271.519047788453,266.776411162222,273.00873388599,268.186742351019
503,268.927327551638,271.302679685064,266.54592651642,272.796238754425,267.950993158453
504,269.095548592305,271.448161434592,266.705652951243,272.947306773157,268.117317037672
505,269.494931784516,271.844762856573,267.119999669796,273.339505513832,268.550248844005
506,269.975009625159,272.333677793592,267.623186584667,273.825899874867,269.063205149171
507,270.387461044694,272.822935863313,268.052883122267,274.260923250118,269.50334697176
508,270.603991079751,273.14308648321,268.278942481671,274.513755873006,269.768951900014
509,270.507215015949,273.130815745789,268.188751623636,274.465091034324,269.729540453444
510,269.981614611877,272.625192471792,267.692416911216,273.967828971247,269.256514870843
511,268.990640366726,271.577537901487,266.712020220509,272.988107271075,268.261350146235
512,267.606966466247,270.094432470024,265.327698229885,271.604832915563,266.863797738596
513,265.911275645046,268.316458332606,263.654126836174,269.883970106464,265.158004967181
514,264.027916292263,266.397154640462,261.796535633372,267.948716019348,263.278206360319
515,262.244289237079,264.571695808444,260.039420300035,266.104698616901,261.509935726005
516,260.885846413187,263.185470068975,258.704830652063,264.700275422991,260.155617917982
517,260.252945562007,262.556643808085,258.089890020993,264.056069294538,259.513424450523
518,260.357263954832,262.690226673023,258.204970559209,264.181770941326,259.625851096549
519,261.02566659196,263.390746414757,258.876867273723,264.886788682182,260.316722419208
520,262.082225778812,264.459894352493,259.929601321526,265.977763693341,261.406912770743
521,263.366271818175,265.729077434811,261.202362220886,267.28420996536,262.705459686394
522,264.741903611421,267.119144917382,262.558962580671,268.672771365189,264.065665156878
523,266.075487028996,268.468584377892,263.865468661074,270.020764416867,265.390906215405
524,267.260125757778,269.648716468671,265.016543256318,271.224289081998,266.581986670335
525,268.308621838153,270.683647966753,266.034868516601,272.294217509237,267.615768510589
526,269.267259556735,271.63625749153,266.97893640464,273.276945887679,268.544648145572
527,270.180664269717,272.575132025539,267.904266007394,274.217000519948,269.473487653993
528,271.069464897244,273.497346589567,268.823390266059,275.131863141101,270.416838271305
529,271.93624303361,274.389545521191,269.716512946867,276.026828923608,271.297740981653
530,272.78281742316,275.246676592299,270.562856533112,276.889050634604,272.124911132353
531,273.573893606937,276.03268908888,271.319492827315,277.681372466343,272.888524574755
532,274.203103646573,276.652168780615,271.90107406661,278.301218472738,273.490888594378
533,274.556052368423,277.002996757514,272.217461505131,278.646312150227,273.826953188083
534,274.545245023484,277.00636317595,272.200497938941,278.646221537298,273.816749494689
535,274.22808929583,276.709015334,271.900432432815,278.34692339153,273.515411297019
536,273.710567491844,276.199790166236,271.407206551223,277.835033450615,273.023361885916
537,273.097357942928,275.585269466708,270.810090531334,277.196951694253,272.439734218937
538,272.46825728125,274.947109079967,270.185346615685,276.514521298609,271.80780280095
539,271.881083412367,274.339210399705,269.597746707873,275.886498398298,271.205519218144
540,271.392858262337,273.830220804223,269.111613819798,275.36720114068,270.70341634103
541,271.051368757322,273.47549429939,268.778904106189,274.998689091815,270.354129025154
542,270.883427957709,273.300193942279,268.623487007633,274.817807237406,270.192465381513
543,270.912952881293,273.325314065203,268.665353789787,274.86379342808,270.250772028694
544,271.153119076145,273.590778961815,268.914369213982,275.162560152436,270.545015391235
545,271.547126820031,274.017184016192,269.314428961399,275.623959589652,270.945185165572
546,272.01015109328,274.494350643163,269.783007906482,276.141107076977,271.411308059388
547,272.458512104373,274.927433331619,270.238649380111,276.60906896397,271.852723346555
548,272.838532750924,275.268544920004,270.627906083677,276.974920161413,272.216872979352
549,273.127662064733,275.570401048935,270.926388894695,277.247153123703,272.490728336094
550,273.3047899695,275.753940689919,271.111055359249,277.408019181004,272.663085050275
551,273.34649385442,275.792380746315,271.157647862969,277.444354201329,272.716267754934
552,273.223090620189,275.659044199996,271.038619111693,277.322207306702,272.615082804434
553,272.903848089947,275.33697520207,270.725870555669,277.004102732333,272.321400994198
554,272.367192061582,274.805036786304,270.199929190168,276.462229061832,271.806586390104
555,271.664189321645,274.08585016653,269.509739770388,275.745432419572,271.117303609785
556,270.880511106784,273.291111102411,268.736839655276,274.951432157189,270.33608867397
557,270.10099306465,272.497905999695,267.962021322357,274.13582368753,269.544775126809
558,269.37502919576,271.771593690471,267.234121085407,273.364825657878,268.793994560046
559,268.708820357177,271.09960315862,266.563029913483,272.664885255742,268.096352386756
560,268.105945804849,270.478767042913,265.956274065523,272.040455290611,267.462145159789
561,267.554371363729,269.894259628286,265.40405377303,271.491807187152,266.884889949231
562,266.991460428775,269.299293643501,264.840416389232,270.943272585107,266.303722273664
563,266.344343315148,268.669710910246,264.188053747779,270.300058790174,265.646780338769
564,265.549077543396,267.900092890078,263.379391622931,269.481100162119,264.85017787705
565,264.628688082606,267.004389616217,262.441682326726,268.510685610313,263.927724964743
566,263.655236317308,266.041272218145,261.455645917804,267.472507988359,262.937040600313
567,262.701012047118,265.069838267213,260.502103338285,266.450534572309,261.936223999489
568,261.822511737992,264.14545547591,259.637404446639,265.522934366569,260.982777605856
569,261.053611082499,263.318149284231,258.882849196763,264.715693788389,260.133349106951
570,260.426442026923,262.637533307724,258.25703569164,264.048076268233,259.444520286726
571,259.962958977308,262.162825544419,257.772923297506,263.539079013336,258.95526067788
572,259.645535295255,261.836896807222,257.421542006252,263.187291447052,258.629554405475
573,259.446923573926,261.646824405718,257.188591545357,262.976517029692,258.394168109102
574,259.342366568877,261.525134790448,257.061623604326,262.863355892349,258.267135390483
575,259.337225225494,261.482587866685,257.050589112159,262.855261756406,258.257777574913
576,259.456861992765,261.571613608865,257.180314343025,262.98324607229,258.395003751882
577,259.726203052189,261.865395951414,257.475059310299,263.27786245332,258.680934989886
578,260.109727067827,262.3012901809,257.895771152745,263.702720823532,259.09319410835
579,260.470097788773,262.759577194386,258.296755823216,264.108674350006,259.495801039337
580,260.660197527993,263.006104448636,258.522074174926,264.335743572635,259.72912450997
581,260.530395175553,262.857740591293,258.414493322584,264.222472296456,259.632052423547
582,259.919340710046,262.174377082243,257.810748285383,263.608342572193,259.03612774311
583,258.662271350108,260.857265002584,256.545817426696,262.341748072446,257.725806213617
584,256.611719955217,258.770425076011,254.472293899638,260.20716933009,255.61185580887
585,253.88343590721,256.005921253316,251.710841406597,257.329977418606,252.818002362943
586,250.798076100271,252.867082604275,248.59080990147,254.12000875192,249.670125326193
587,247.681466139407,249.676034011417,245.446792788416,250.888149599812,246.499178776354
588,244.828695922108,246.787509110363,242.579398622587,247.938851429536,243.602585236787
589,242.473937722605,244.397182194039,240.221878595476,245.503937308338,241.21130828907
590,240.844190819246,242.743574361381,238.599552628998,243.806426538777,239.548486033576
591,240.112321231539,241.996752551663,237.88293662424,243.017291656816,238.785172582563
592,240.148971850605,242.032965064807,237.936578525117,243.016930846167,238.796438300752
593,240.719947331094,242.607571741054,238.518888994727,243.584944900158,239.353905599378
594,241.596184099257,243.484671189534,239.393960409774,244.505107186533,240.262006490277
595,242.65051948257,244.561207918536,240.438515506312,245.644343817486,241.388752663308
596,243.848361086695,245.82613426106,241.632828930404,246.945119713925,242.674733276747
597,245.158454084353,247.194835210441,242.993604650743,248.352651727561,244.0631875036
598,246.542721404728,248.627862943,244.401682042904,249.814036344818,245.500723923816
599,247.947169442416,250.068216655602,245.833745859046,251.280755306131,246.941812062472
600,249.315538945011,251.456396957549,247.247459625599,252.70491457309,248.342040414776
601,250.593007530063,252.735856933888,248.551355033287,254.03879538189,249.657035493807
602,251.734356799501,253.869783905658,249.700214301831,255.235850497538,250.842677922635
